Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,_src,relevance_score
0,"Sri Indrayani, Sintha Istikomah",Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design,2026,bit-Tech,Komunitas Dosen Indonesia,https://doi.org/10.32877/bt.v8i3.3722,,55,2026-05-27 21:00:15,journal-article,10.32877/bt.v8i3.3722,2622-2728,,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.",https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993,,q2_crossref_house_only_fulltext.csv,20
1,"Andika Saputra Muharam, Solihin Solihin, Eko Retnaldi, Eti Rahmawati, Lilis Emalia",Website-Based Boarding House Rental Information System: Case Study at Pondok Saluyu Company,2024,"Journal of Economics, Management, and Entrepreneurship",Sekolah Tinggi Ilmu Ekonomi Pasundan,https://doi.org/10.55208/jeme.v2i2.174,,20,2026-05-27 21:00:15,journal-article,10.55208/jeme.v2i2.174,3026-0906,,2,2,146,163,1,0.50,0,5,2,"A traditional information management system is still in use at Pondok Saluyu, a boarding house in Bandung City. This method is unsuccessful or inefficient, particularly regarding marketing and providing potential tenants with information. This project aims to create and implement a web-based information system to facilitate digital payments, streamline the online room rental procedure, and distribute information more efficiently. Agile development, which enables quick development, adapts to change, and actively incorporates all relevant parties in the process, is the system development methodology employed. The findings of this study should make it easier for boarding house operators to verify room availability, manage boarding rooms, and handle tenant transactions. Additionally, this website will serve as a more contemporary form of advertising. The use of mobile/Android applications for system optimization, payment gateways to enhance payment systems, the creation of more comprehensive applications, and the improvement and development of programs in line with technological advancements are some recommendations for future development.",https://journal.lemlit.org/index.php/jeme/article/download/127/203,,q2_crossref_house_only_fulltext.csv,20
3,"Janessa Sarah Destini, Tony Tony",Implementing Hierarchical Role-Based Access Control for Document Administration in Student Organizations,2024,Internet of Things and Artificial Intelligence Journal,ASCEE Publications,https://doi.org/10.31763/iota.v4i4.832,,144,2026-05-27 21:14:56,journal-article,10.31763/iota.v4i4.832,2774-4353,,4,4,785,802,3,1.50,2,2,2,"Student organizations in higher education institutions play a pivotal role in fostering leadership and collaboration. Despite their importance, many still utilize manual document administration processes, resulting in inefficiencies, delays, and a lack of transparency. This research introduces the design and implementation of a web-based Document Management System integrated with Hierarchical Role-Based Access Control (HRBAC) for student organizations at Universitas Tarumanagara. The system adopts a structured and secure framework tailored to the organization’s approval hierarchy, encompassing roles such as UKM/HIMA, BEM, DPM, Faculty Advisors, Deans, and the Student Affairs Office. Each role is assigned specific access privileges to ensure secure and efficient document submission and approval workflows, aligned with organizational needs. The system was developed using the Laravel framework, PHP, HTML, SCSS, JavaScript, and MySQL, following the Waterfall methodology. Usability was evaluated using the System Usability Scale (SUS), achieving a score of 78.33, categorizing it as “Good” in terms of user experience and navigability. The findings indicate significant improvements in process automation, role-based access control, and document traceability. This research offers a comprehensive model for digital transformation in student organization administration, emphasizing the effectiveness of hierarchical access control in optimizing administrative workflows within academic institutions.",https://pubs.ascee.org/index.php/iota/article/download/832/427,,q4_crossref_rbac_webapp_core.csv,13
0,"Andi Anzanul Zikra, Aulia Darnilasari, Rahmat Yanuary, Komala Sari",Design of Web-Based Project Management System with Multi-Level Role-Based Access Control,2025,Journal of Computer Science and Informatics Engineering,Ali Institute of Research and Publication,https://doi.org/10.55537/cosie.v4i3.1179,,11,2026-05-27 21:14:56,journal-article,10.55537/cosie.v4i3.1179,2827-8356,,4,3,201,215,0,0.00,0,4,1,"Conventional project management using WhatsApp and email creates problems in progress tracking and inefficient team coordination. Research shows 70% of projects fail to deliver what was promised to customers. This research aims to design a web-based project management system using Laravel 12, Filament Shield, and Tailwind CSS. The research methodology employs waterfall SDLC with problem identification, data collection, UML system design, and black box testing stages. The system is designed with an Role-Based Access Control (RBAC) for 6 roles: Super Admin, Project Manager, Team Lead, Developer, QA Tester, and Client. Results demonstrate successful system implementation with integrated platform features, multi-level RBAC, real-time tracking through kanban dashboard, and responsive interface. Black box testing with 21 test cases covering 5 core system functions (authentication, RBAC, project CRUD operations, task management, and kanban board) achieved 100% success rate. The system successfully addresses progress tracking and coordination issues with an integrated solution supporting organizational scalability",https://journal.aira.or.id/index.php/cosie/article/download/1179/488,,q4_crossref_rbac_webapp_core.csv,11
1,"Marjay C. Bumalod, Rose Mary A. Velasco","Synergistic Information Security Design Implementation based on Role-Based Access Control, Information Classification, and AES Cryptographic Encryption",2024,"International Journal in Information Technology in Governance, Education and Business",Sekolah Tinggi Informatika dan Komputer Indonesia,https://doi.org/10.32664/ijitgeb.v6i1.136,,260,2026-05-27 21:14:56,journal-article,10.32664/ijitgeb.v6i1.136,2721-0030,,6,1,68,85,1,0.50,1,2,2,"Security technology has undergone significant development and research in response to increasing cyber threats. The Intranet Document Management System (IDMS) was created to centralize documents within organizations, ensuring efficiency and streamlining processes. Given the critical nature of document management in organizational workflows, secure and safe management is paramount. This study aims to develop a secure IDMS using Advanced Encryption Standard (AES) encryption, Role-Based Access Control (RBAC), and an Information Classification Model. We also provide a comprehensive overview of the key characteristics and performance metrics of each access control model and cryptographic algorithm, facilitating decision-making for system design and implementation. The system offers high granularity, ease of administration through role assignments with document classification, high flexibility with customized permissions, and scalability with roles and classification. AES is chosen for its high security and fast performance, making it a widely used encryption standard. Keywords: Advanced Encryption Standard (AES), Access Control, Cryptographic Algorithm, Document Management System, Information Classification   Received Date: April 2, 2024Revised Date: May 10, 2024Accepted Date: May 14, 2024",https://ijitgeb.org/ijitgeb/article/download/136/74,,q4_crossref_rbac_webapp_core.csv,11
0,"Hidayatur Romadhan, Mansur Mansur",Web-based Educational Payment Information System using Role-based Access Control Security,2026,SISTEMASI,Universitas Islam Indragiri,https://doi.org/10.32520/stmsi.v15i2.5920,,1,2026-05-27 21:14:56,journal-article,10.32520/stmsi.v15i2.5920,2540-9719,,15,2,624,624,0,0.00,0,2,1,,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/viewFile/5920/1164,,q4_crossref_rbac_webapp_core.csv,10
0,"Ketut Arya Wisnu Wardana, Tri Widodo",Web-Based Boarding House Management Information System with Payment Gateway Integration,2026,International Journal of Science and Environment (IJSE),International Journal of Educational Research & Social Sciences (IJERSC),https://doi.org/10.51601/ijse.v6i1.302,,591,2026-05-27 21:10:36,journal-article,10.51601/ijse.v6i1.302,2809-0551,,6,1,118,126,0,0.00,0,2,1,"Manual management at GreenKost in Sleman faces challenges in unstructured recording of room, tenant, and financial transaction data, along with slow and error-prone administrative processes. This study aims to develop a web-based boarding house management information system with Model-View-Controller (MVC) architecture using Laravel framework to optimize business processes and improve tenant services. The research methodology includes direct observation on February 17, 2025, and interviews with the boarding house owner on February 25, 2025, to identify system requirements. The system was developed using Laravel 12.x with MySQL database and Eloquent ORM, integrated with a payment gateway to support QRIS and E-Wallet payments. Main features include user management, room management with real-time status, online reservation and booking, integrated payments, admin dashboard reports, announcement management, and repair request services. Testing using black-box testing method shows all features function as expected under both normal and abnormal conditions. The research results demonstrate that an integrated digital system can automate payment verification, improve administrative efficiency, and provide ease of information access and real-time transactions for tenants.",https://www.ijsenet.com/index.php/IJSE/article/download/302/308,,q3_crossref_house_txn_fulltext.csv,9
0,"Noor Chalim, Rhoedy Setiawan, Yudie Irawan",Pengembangan Sistem Informasi Penyewaan Gedung Graha Mustika Berbasis Android dan Web Terintegrasi Dengan Payment Gateway,2025,JoMMiT : Jurnal Multi Media dan IT,Politeknik Negeri Media Kreatif,https://doi.org/10.46961/jommit.v8i2.1467,,901,2026-05-27 21:10:36,journal-article,10.46961/jommit.v8i2.1467,2548-9550,,8,2,123,129,0,0.00,0,3,1,"This research focuses on developing an information system for the rental management of Graha Mustika Hall, located in Getaspejaten Village, Jati District, Kudus Regency. The venue is frequently utilized for various events; however, the existing rental process, including schedule management and payment confirmations, is handled manually. This method often results in recording errors and lacks transparency. The study aims to create a system accessible via Android and web platforms to simplify the rental process for both hall managers and tenants. Key features include real-time venue availability checks, rental request management, and payment gateway integration to streamline transactions. The system stores essential data such as rental rates, transaction details, tenant information, schedules, and equipment availability. The development process adopts the Extreme Programming methodology and utilizes UML for design. The system is expected to improve accuracy, transparency, and efficiency in managing Graha Mustika Hall, while also minimizing errors typically found in manual recording processes.",https://ojs2.polimedia.ac.id/index.php/jommit/article/download/1467/680,,q3_crossref_house_txn_fulltext.csv,9
1,"A. H. Afolayan, T. M. Onoriode",Web-Based SIWES Logbook System with Secure Authentication and Role-Based Access,2025,"Journal of Science, Technology and Innovation Research",Federal University of Technology Akure,https://doi.org/10.51459/jostir.2025.1.special-issue.059,,40,2026-05-27 21:14:56,journal-article,10.51459/jostir.2025.1.special-issue.059,1118-3896,,1,,,,1,1.00,1,2,1,"The Student Industrial Work Experience Scheme (SIWES) is designed to connect classroom learning with real-world workplace experience across Nigerian universities. A central component of this process is the logbook, which students use to record their daily tasks and on which supervisors rely for evaluation. In many Nigerian institutions, these logbooks are still kept on paper, a familiar practice that often leads to delays, lost records, and other inefficiencies. To address these challenges, this study aims to design and implement a secure, role-based, multi-user, web-enabled SIWES logbook system to streamline documentation, supervision, and evaluation, with the objectives of improving accessibility, enhancing security through authentication, and enabling real-time monitoring for all stakeholders. The system was developed using the Waterfall Software Development Life Cycle (SDLC) and a four-tier architecture comprising a React.js presentation layer, Node.js application layer, MySQL data layer, and a security layer employing Bcrypt for password hashing and JSON Web Tokens (JWT) for stateless authentication, alongside Role-Based Access Control (RBAC) for tailored permissions. A user evaluation with 40 participants at the Federal University of Technology, Akure, demonstrated high usability, security, and adoption: 65% were very satisfied, 72.5% found navigation easy, 57.5% rated the system as very secure, and 95% preferred it over paper-based logbooks. These findings confirm that the proposed system enhances monitoring, ensures data integrity, and provides timely feedback, offering a practical, centralized, and secure alternative to traditional SIWES logbooks.",https://jostir.futa.edu.ng/jostir/article/download/59/48,,q4_crossref_rbac_webapp_core.csv,9
0,"Albert Ramadhan Manik, Dedy Kiswanto, Muhammad Budi Akbar, Jogi Purba","Academic Portal with MFA (WhatsApp OTP via Fonnte), Role-Based Access Control, and Logging System for Network Monitoring",2025,Jurnal Ilmiah Sistem Informasi,Universitas Sains dan Teknologi Komputer,https://doi.org/10.51903/qwz6pt87,,55,2026-05-27 21:14:56,journal-article,10.51903/qwz6pt87,2809-1507,,4,3,674,687,0,0.00,0,4,1,"This study aims to develop a web-based academic portal with a multi-layered security system to enhance data protection and operational efficiency. The system integrates Multi-Factor Authentication (MFA) using WhatsApp OTP via Fonnte, Role-Based Access Control (RBAC), and a user activity logging mechanism to ensure security, transparency, and accountability. Additionally, a web-based security monitoring feature is implemented, allowing administrators to observe user activities in real-time and respond promptly to potential threats. The testing results indicate that the combination of MFA, RBAC, and logging effectively strengthens the system against unauthorized access while improving its stability and reliability. Therefore, the developed system proves to be an effective solution for securing academic data, minimizing security risks, and optimizing the management of educational information.",https://ejurnal.provisi.ac.id/index.php/JUISI/article/download/1316/917,,q4_crossref_rbac_webapp_core.csv,9
