Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
62,"Chunqing Lin, Sarah J. Cousins, Yuhui Zhu, Sarah E. Clingan, Larissa J. Mooney, Emily Kan, Fei Wu, Yih‐Ing Hser",A scoping review of social determinants of health's impact on substance use disorders over the life course,2024,Journal of Substance Use and Addiction Treatment,Elsevier BV,https://doi.org/10.1016/j.josat.2024.209484,,271,2026-05-27 20:41:01,review,10.1016/j.josat.2024.209484,2949-8759,,166,,209484,209484,62,31.00,8,8,2,"BACKGROUND: Substance use is a public crisis in the U.S. Substance use can be understood as a series of events in the life course, from initiation to mortality. Social Determinants of Health (SDoH) have increasingly been recognized as essential contributors to individuals' health. This scoping review aims to examine available evidence of SDoH impact on the life course of substance use disorder (SUD). METHODS: This study identified peer-reviewed articles that reported longitudinal studies with SDoH factors as independent variables and substance use and disorders as dependent variables from PubMed, Embase, and Web of Science. The reported associations between SDoH and substance use stages over the life course were narratively and graphically summarized. RESULTS: Among the 50 studies identified, ten revealed parental monitoring/support and early childhood education as protective factors, while negative peer influences and neighborhood instability were risk factors of substance use initiation. Nineteen articles reported factors associated with escalation in substance use, including unemployment, neighborhood vulnerability, negative peer influence, violence/trauma, and criminal justice system (CJS) involvement. Ten articles suggested that employment, social support, urban living, and low-barrier medication treatment facilitated treatment participation, while stigma and CJS involvement had negative impact on treatment trajectory. Social support and employment could foster progress in recovery and CJS involvement and unstable housing deterred recovery. Four studies suggested that unemployment, unstable housing, CJS involvement, and lack of social support were associated with overdose and mortality. CONCLUSIONS: This review underscores the influence of social networks and early life experiences on the life course of SUD. Future SDoH research should investigate overdose and mortality and the impact of broader upstream SDoH on SUD. Interventions addressing these social factors are needed to mitigate their detrimental effects on the trajectories of SUD over the life course.",https://www.jsatjournal.com/article/S2949-8759(24)00196-6/pdf,
45,"Justin Contat, Carrie Hopkins, Luis Mejia, Matthew Suandi",When climate meets real estate: A survey of the literature,2024,Real Estate Economics,Wiley,https://doi.org/10.1111/1540-6229.12489,,447,2026-05-27 20:41:01,article,10.1111/1540-6229.12489,1080-8620,,52,3,618,659,45,22.50,11,4,2,"Abstract With near unanimity, climate scientists project natural disasters to increase in frequency, severity, and geographic scope over the next century. We survey academic literature at the intersection of these climate risks and real estate. Our review of physical risks includes price, loan performance, and migratory effects stemming from flooding, wildfires, and sea level rise. We review transition risks, including energy use and decarbonization, as they relate to real estate. Where possible, we explain how these topics may intersect with housing affordability, especially in historically disadvantaged communities. We conclude by highlighting critical areas for future research.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1540-6229.12489,
40,"Mostafa Ayman Ilham, Achille Fonzone, Grigorios Fountas, Luca Mora",To move or not to move: A review of residential relocation trends after COVID-19,2024,Cities,Elsevier BV,https://doi.org/10.1016/j.cities.2024.105078,,510,2026-05-27 20:41:01,review,10.1016/j.cities.2024.105078,0264-2751,,151,,105078,105078,40,20.00,10,4,2,"The restrictions imposed during the COVID-19 pandemic have led to significant changes in travel behaviour and public activities, and they might have contributed to changes in residential location choices. However, research examining the relationship between residential location choice and COVID-19 is very limited. To that end, this paper focuses on how pandemic-induced changes in work patterns, travel preferences and daily activity patterns have altered residential preferences and potentially, relocation trends. The main determinants of residential location choice have been established in the literature over the past 30 years: physical attributes of the dwelling; surrounding built environment; affordability; and accessibility to transportation, workplaces, and services. However, each of these determinants are prioritised differently depending on the circumstances. Therefore, exploring how these priorities have shifted after the pandemic can pave the way for understanding how preferences for residential location choice shift as a consequence. From the review, the key findings include the decreasing importance of transport and workplace accessibility in residential location choice after the pandemic. Firstly, teleworking is becoming more prevalent within office jobs than before the pandemic, leading to less frequent trips to conventional workplaces, reducing the need to live within a commutable distance to a workplace. Secondly, trips to other activities have likewise become less frequent due to either remote alternatives (e.g., online shopping) or shifting towards services closer to home, reducing the need to travel in general. Another consequence of the pandemic is people staying at home longer than before, thus increasing the need for more desirable dwelling attributes such as larger house size and wider surrounding green space. Since these attributes are generally more affordable in areas less accessible to transport and services, this may subsequently lead to migrations to areas of lower population density, potentially decentralising urban areas.",https://doi.org/10.1016/j.cities.2024.105078,
34,"Ross C. Braun, Parul Mandal, Emmanuel Nwachukwu, Alex Stanton",The role of turfgrasses in environmental protection and their benefits to humans: Thirty years later,2024,Crop Science,Wiley,https://doi.org/10.1002/csc2.21383,,632,2026-05-27 20:41:01,article,10.1002/csc2.21383,0011-183X,,64,6,2909,2944,34,17.00,9,4,2,"Abstract Beard and Green compiled one of the earliest reviews on the environmental and societal (cultural) benefits that living turfgrass systems (e.g., home lawns, athletic fields, golf courses, roadsides, and grounds) provide to humans and associated contemporary issues with turfgrass. Today, the benefits of vegetation systems are called ecosystem services, and the associated negative aspects are called disservices. Since 1994, a significant amount of research has been conducted to further understand these ecosystem services and disservices and discover new ecosystem services and disservices, which we summarize and identify the knowledge gaps in this review. Turfgrass systems provide positive economic benefits to the US economy and help increase property values; however, many of these ecosystem services are environmental and societal. Some environmental services include (1) improving soil health, quality, and stability; (2) oxygen production; (3) reducing stormwater runoff; (4) filtering water to protect waterways and recharging groundwater; (5) providing evaporative cooling and reducing sunlight glare to improve human comfort levels; (6) offering vertebrate and invertebrate habitat; and (7) offering solutions for recycling wastewater and biosolids. Some societal (cultural) services include (1) outdoor spaces that improve human mental and physical health, (2) increasing community and social harmony, (3) helping deter crime, and (4) reducing human contact with noxious weeds and human‐disease insect vectors. Research, cooperative extension, and education efforts must be increased on these topics to continue to provide additional evidence of these ecosystem services to the public, policymakers, turfgrass practitioners, homeowners, students, and future generations.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/csc2.21383,
33,"Fátima Trindade Neves, Manuela Aparício, Miguel de Castro Neto",The Impacts of Open Data and eXplainable AI on Real Estate Price Predictions in Smart Cities,2024,Applied Sciences,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/app14052209,,666,2026-05-27 20:41:01,article,10.3390/app14052209,2076-3417,,14,5,2209,2209,33,16.50,11,3,2,"In the rapidly evolving landscape of urban development, where smart cities increasingly rely on artificial intelligence (AI) solutions to address complex challenges, using AI to accurately predict real estate prices becomes a multifaceted and crucial task integral to urban planning and economic development. This paper delves into this endeavor, highlighting the transformative impact of specifically chosen contextual open data and recent advances in eXplainable AI (XAI) to improve the accuracy and transparency of real estate price predictions within smart cities. Focusing on Lisbon’s dynamic housing market from 2018 to 2021, we integrate diverse open data sources into an eXtreme Gradient Boosting (XGBoost) machine learning model optimized with the Optuna hyperparameter framework to enhance its predictive precision. Our initial model achieved a Mean Absolute Error (MAE) of EUR 51,733.88, which was significantly reduced by 8.24% upon incorporating open data features. This substantial improvement underscores open data’s potential to boost real estate price predictions. Additionally, we employed SHapley Additive exPlanations (SHAP) to address the transparency of our model. This approach clarifies the influence of each predictor on price estimates and fosters enhanced accountability and trust in AI-driven real estate analytics. The findings of this study emphasize the role of XAI and the value of open data in enhancing the transparency and efficacy of AI-driven urban development, explicitly demonstrating how they contribute to more accurate and insightful real estate analytics, thereby informing and improving policy decisions for the sustainable development of smart cities.",https://www.mdpi.com/2076-3417/14/5/2209/pdf?version=1709731075,
33,"Olegas Beriozovas, Dalia Perkumienė, Mindaugas Škėma, Abdellah Saoualih, Larbi Safaa, Marius Aleinikovas",Research Advancement in Forest Property Rights: A Thematic Review over Half a Decade Using Natural Language Processing,2024,Sustainability,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/su16198280,,668,2026-05-27 20:41:01,review,10.3390/su16198280,2071-1050,,16,19,8280,8280,33,16.50,6,6,2,"This paper proposes a thematic literature review of advances in the literature on forest property rights over the first half of this decade. From a methodological point of view, we exploited a corpus of scientific articles published between 2019 and 2023, extracted from the Scopus and Web of Science databases. We then performed a co-word analysis using the Louvain algorithm to reveal thematic clusters. This approach enabled us to identify seven distinct trends over the past half-decade, each highlighting specific aspects and geographical diversity of forest property rights, which were then evaluated using a thematic map. The main findings revealed that (policies, livelihoods and agroforestry) and (institutions, sustainability and non-timber forest products) stand out as central and influential themes, which have a significant impact and present notable advances that have shaped recent discussions and practices. Furthermore, themes (forest policy and resource management) and (conservation and the rights of indigenous communities) are well developed, which have a solid research base, offering an in-depth understanding of the relevant research questions. Conversely, themes (institutional change and forest conservation) and (deforestation, indigenous rights and community management) represent emerging themes, which are receiving increasing attention and are likely to become major of focus. In contrast, (forest governance, community management and land conflict resolution) which indicates a waning influence in terms of miscellaneous implications. The findings of this thematic literature review will help guide policymakers, researchers, and practitioners based on recent developments in international forest property rights, during a half-decade marked by a break with previous trends, leading to legislative changes and strategic adaptations essential for the sustainable management of forest resources, bolstered by technological advancements and environmental efforts.",https://www.mdpi.com/2071-1050/16/19/8280/pdf?version=1727678337,
29,"Emma Everson-Hock, Lindsay Blank, Hannah Fairbrother, Mark Clowes, Diana Castelblanco Cuevas, Andrew Booth, Amy Clair, Elizabeth Goyder",Exploring the impact of housing insecurity on the health and wellbeing of children and young people in the United Kingdom: a qualitative systematic review,2024,BMC Public Health,BioMed Central,https://doi.org/10.1186/s12889-024-19735-9,,780,2026-05-27 20:41:01,review,10.1186/s12889-024-19735-9,1471-2458,,24,1,2453,2453,29,14.50,4,8,2,"BACKGROUND: Housing insecurity can be understood as experiencing or being at risk of multiple house moves that are not through choice and related to poverty. Many aspects of housing have all been shown to impact children/young people's health and wellbeing. However, the pathways linking housing and childhood health and wellbeing are complex and poorly understood. METHODS: We undertook a systematic review synthesising qualitative data on the perspectives of children/young people and those close to them, from the United Kingdom (UK). We searched databases, reference lists, and UK grey literature. We extracted and tabulated key data from the included papers, and appraised study quality. We used best fit framework synthesis combined with thematic synthesis, and generated diagrams to illustrate hypothesised causal pathways. RESULTS: We included 59 studies and identified four populations: those experiencing housing insecurity in general (40 papers); associated with domestic violence (nine papers); associated with migration status (13 papers); and due to demolition-related forced relocation (two papers). Housing insecurity took many forms and resulted from several interrelated situations, including eviction or a forced move, temporary accommodation, exposure to problematic behaviour, overcrowded/poor-condition/unsuitable property, and making multiple moves. Impacts included school-related, psychological, financial and family wellbeing impacts, daily long-distance travel, and poor living conditions, all of which could further exacerbate housing insecurity. People perceived that these experiences led to mental and physical health problems, tiredness and delayed development. The impact of housing insecurity was lessened by friendship and support, staying at the same school, having hope for the future, and parenting practices. The negative impacts of housing insecurity on child/adolescent health and wellbeing may be compounded by specific life circumstances, such as escaping domestic violence, migration status, or demolition-related relocation. CONCLUSION: Housing insecurity has a profound impact on children and young people. Policies should focus on reducing housing insecurity among families, particularly in relation to reducing eviction; improving, and reducing the need for, temporary accommodation; minimum requirements for property condition; and support to reduce multiple and long-distance moves. Those working with children/young people and families experiencing housing insecurity should prioritise giving them optimal choice and control over situations that affect them.",https://link.springer.com/content/pdf/10.1186/s12889-024-19735-9.pdf,
27,"Sally Lindsay, Kristina Fuentes, Sharmigaa Ragunathan, Yiyan Li, Timothy Ross","Accessible independent housing for people with disabilities: A scoping review of promising practices, policies and interventions",2024,PLoS ONE,Public Library of Science,https://doi.org/10.1371/journal.pone.0291228,,846,2026-05-27 20:41:01,review,10.1371/journal.pone.0291228,1932-6203,,19,1,,,27,13.50,5,5,2,"BACKGROUND: Accessible housing is imperative to enabling independent living for many people with disabilities; yet, research consistently shows how people with disabilities often lack appropriate accessible housing and are more likely to experience unaffordable, insecure, and/or poor quality housing. Therefore, the aim of this study was to understand promising practices, policies and interventions regarding accessible independent housing for people with disabilities. METHODS: We conducted a scoping review that involved searching seven international literature databases that identified 4831 studies, 60 of which met our inclusion criteria. RESULTS: The reviewed studies involved 18 countries over a 20-year period. Our review highlighted the following key trends: (1) removing barriers to obtaining accessible housing (e.g., advocacy, builders enhancing housing supply, subsidies and financial incentives); (2) policies influencing accessible housing; (3) interventions to enhance accessible housing (i.e., home modifications, smart homes, mobile applications and other experimental devices); and (4) the impact of accessible independent housing on health and wellbeing. CONCLUSIONS: Our findings emphasize the importance of accessible housing for people with disabilities and the urgent need to advance accessible housing options.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0291228&type=printable,
122,"Maxwell Chukwudi Udeagha, Edwin Muchapondwa","Striving for the United Nations (<scp>UN</scp>) sustainable development goals (<scp>SDGs</scp>) in <scp>BRICS</scp> economies: The role of green finance, fintech, and natural resource rent",2023,Sustainable Development,Wiley,https://doi.org/10.1002/sd.2618,,78,2026-05-27 20:41:01,article,10.1002/sd.2618,0968-0802,,31,5,3657,3672,122,40.67,61,2,3,"Abstract In terms of policy, the BRICS region has prioritized achieving environmental sustainability. Environmental problems are mostly caused by the area's continuous reliance on fossil fuels to meet its energy requirements. It is also challenging to significantly reduce the region's reliance on fossil fuels because historically, the region has been a big importer of fossil fuels. As a result, the greenhouse gas (GHG) emission rates of the BRICS countries have been rising over time. Furthermore, the area has enormous untapped reserves of renewable energy sources that can be exploited to produce electricity without negatively impacting the ecosystem. In light of this, this research analyses, while controlling for energy innovation, economic growth, and natural resource rent, the combined effects of green finance (GFN) and financial technology (fintech) in reaching the region's carbon neutrality goals from 1990 to 2020. The findings for the BRICS economies, which are consistent with the EKC theory, imply that environmental sustainability is promoted by GFN, fintech, and energy innovation (ENI). NRR (natural resource rent) and GDP (economic growth) compromise environmental quality, nevertheless. It has also been demonstrated that there is a two‐way causal relationship between CO 2 emissions and GFN, fintech, and NRR. However, it has been demonstrated that GDP and ENI have a one‐way causal relationship with CO 2 emissions. It is recommended that the BRICS nations speed up the development of green financial products and increase the capacity of banks and financial institutions to offer green credit facilities based on the empirical findings. The basic study of how green finance solutions might be used while lowering the related risks should receive more funding.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sd.2618,
111,"Muhammad Irfan Khalid, Ibtisam Ehsan, Ayman Al-Ani, Jawaid Iqbal, Saddam Hussain, Syed Sajid Ullah, Nayab",A Comprehensive Survey on Blockchain-Based Decentralized Storage Networks,2023,IEEE Access,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/access.2023.3240237,,95,2026-05-27 20:41:01,article,10.1109/access.2023.3240237,2169-3536,,11,,10995,11015,111,37.00,16,7,3,"Blockchains are a new approach to creating distributed networks that were first introduced in 2008. It allows the formation of peer-to-peer networks based on consensus, forming chains from accepted blocks without requiring a central authority or centralized controller. A prominent application of this technology is its use in decentralized storage systems. Individuals in decentralized storage networks rent unused hardware storage space to other individuals. A decentralized network utilizing end-to-end encryption eliminates the risk of data loss associated with centralized data control by enabling clients to transmit their files securely. The storage providers must prove that they have kept unaltered files in this network for this time. Many studies have been conducted in this specific domain, most targeting storage capacity and efficiency, but a security, integrity and privacy loophole need to be addressed. This paper presents an overview of blockchain-based storage systems and how they work, followed by a comparison with cloud-based storage networks and a survey of various decentralized storage networks like SIA, File coin, and Storj available on the market. Next, we discuss the advantages and disadvantages of blockchain-based storage. In our final discussion, we examine the security problems of decentralized storage networks and explore potential solutions and research directions for the future.",https://ieeexplore.ieee.org/ielx7/6287639/10005208/10026822.pdf,
