Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
484,DeepSeek-AI,Can Open Large Language Models Catch Vulnerabilities?,2025,ArXiv.org,,http://arxiv.org/abs/2501.12948,,3,2026-05-27 20:41:01,preprint,10.4230/oasics.icpec.2025.4,2331-8422,,,,,,484,484.00,484,1,1,"As Large Language Models (LLMs) become increasingly integrated into secure software development workflows, a critical question remains unanswered: can these models not only detect insecure code but also reliably classify vulnerabilities according to standardized taxonomies? In this work, we conduct a systematic evaluation of three state-of-the-art LLMs - Llama3, Codestral, and Deepseek R1 - using a carefully filtered subset of the Big-Vul dataset annotated with eight representative Common Weakness Enumeration categories. Adopting a closed-world classification setup, we assess each model’s performance in both identifying the presence of vulnerabilities and mapping them to the correct CWE label. Our findings reveal a sharp contrast between high detection rates and markedly poor classification accuracy, with frequent overgeneralization and misclassification. Moreover, we analyze model-specific biases and common failure modes, shedding light on the limitations of current LLMs in performing fine-grained security reasoning.These insights are especially relevant in educational contexts, where LLMs are being adopted as learning aids despite their limitations. A nuanced understanding of their behaviour is essential to prevent the propagation of misconceptions among students. Our results expose key challenges that must be addressed before LLMs can be reliably deployed in security-sensitive environments.",https://arxiv.org/pdf/2501.12948,
38,OECD,Trends Shaping Education 2025,2025,Trends shaping education,Organization for Economic Cooperation and Development,https://doi.org/10.1787/ee6587fd-en,,534,2026-05-27 20:41:01,book,10.1787/ee6587fd-en,2218-7030,,,,,,38,38.00,38,1,1,"Did you ever wonder how rising inequality and polarisation will shape education? Or how advances in artificial intelligence, virtual reality, and other technologies could transform teaching and learning?Trends Shaping Education is a triennial report exploring the social, technological, economic, environmental and political forces transforming education systems worldwide. The trends are robust, but the questions raised in this report are suggestive. They are designed to inspire reflection and inform strategic thinking on how global trends might transform education and how education can shape a better future. The 2025 edition explores a rich array of topics related to the key themes of global conflict and cooperation, work and progress, voices and storytelling, and bodies and minds. It builds on foresight exercises from previous editions, while introducing a range of new futures thinking tools to inspire reflection and action. This report is designed to give policy makers, researchers, educational leaders, administrators and teachers a robust, non-specialist source of international comparative trends shaping education, whether in early childhood education and care, schools, universities or in programmes for older adults. It will also be of interest to students, parents and anyone curious about how education can address today’s challenges and prepare for the future.",https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/01/trends-shaping-education-2025_3069cbd2/ee6587fd-en.pdf,
172,"Anichur Rahman, Tanoy Debnath, Dipanjali Kundu, Md. Saikat Islam Khan, Airin Afroj Aishi, Sadia Sazzad, Mohammad Sayduzzaman, Shahab S. Band","Machine learning and deep learning-based approach in smart healthcare: Recent advances, applications, challenges and opportunities",2024,AIMS Public Health,AIMS Press,https://doi.org/10.3934/publichealth.2024004,,37,2026-05-27 20:41:01,article,10.3934/publichealth.2024004,2327-8994,,11,1,58,109,172,86.00,22,8,2,"In recent years, machine learning (ML) and deep learning (DL) have been the leading approaches to solving various challenges, such as disease predictions, drug discovery, medical image analysis, etc., in intelligent healthcare applications. Further, given the current progress in the fields of ML and DL, there exists the promising potential for both to provide support in the realm of healthcare. This study offered an exhaustive survey on ML and DL for the healthcare system, concentrating on vital state of the art features, integration benefits, applications, prospects and future guidelines. To conduct the research, we found the most prominent journal and conference databases using distinct keywords to discover scholarly consequences. First, we furnished the most current along with cutting-edge progress in ML-DL-based analysis in smart healthcare in a compendious manner. Next, we integrated the advancement of various services for ML and DL, including ML-healthcare, DL-healthcare, and ML-DL-healthcare. We then offered ML and DL-based applications in the healthcare industry. Eventually, we emphasized the research disputes and recommendations for further studies based on our observations.",https://doi.org/10.3934/publichealth.2024004,
157,"Arvind R. Singh, Pradeep Vishnuram, Sureshkumar Alagarsamy, Mohit Bajaj, Vojtěch Blažek, Issam Damaj, Rajkumar Singh Rathore, Fahd N. Al‐Wesabi, Kamal M. Othman","Electric vehicle charging technologies, infrastructure expansion, grid integration strategies, and their role in promoting sustainable e-mobility",2024,Alexandria Engineering Journal,Elsevier BV,https://doi.org/10.1016/j.aej.2024.06.093,,46,2026-05-27 20:41:01,article,10.1016/j.aej.2024.06.093,1110-0168,,105,,300,330,157,78.50,17,9,2,"The transport sector is experiencing a notable transition towards sustainability, propelled by technological progress, innovative materials, and a dedication to environmental preservation. This study explicitly examines the incorporation of electric vehicles (EVs) into the power grid, with a particular emphasis on passenger automobiles. Our analysis emphasises the vital importance of updated transport infrastructure in decreasing greenhouse gas emissions and aiding carbon reduction efforts in electricity networks. The analysis uncovers that adopting electric vehicles offers significant advantages, including enhanced grid efficiency and decreased emissions. However, it also brings issues concerning the design and operation of power systems at both the transmission and distribution levels. Key players are crucial in tackling these difficulties to improve electric vehicle integration into the grid. The study determines the most effective ways for distributing and providing electric vehicle charging infrastructure, and investigates the efforts made to establish common standards in order to solve current challenges. This research contributes to the advancement of sustainable mobility and energy systems by conducting a thorough examination of the impact of electric vehicles on power systems and offering appropriate integration solutions.",https://doi.org/10.1016/j.aej.2024.06.093,
104,"Şafak Kayıkçı, Taghi M. Khoshgoftaar",Blockchain meets machine learning: a survey,2024,Journal Of Big Data,Springer Science+Business Media,https://doi.org/10.1186/s40537-023-00852-y,,101,2026-05-27 20:41:01,article,10.1186/s40537-023-00852-y,2196-1115,,11,1,,,104,52.00,52,2,2,"Abstract Blockchain and machine learning are two rapidly growing technologies that are increasingly being used in various industries. Blockchain technology provides a secure and transparent method for recording transactions, while machine learning enables data-driven decision-making by analyzing large amounts of data. In recent years, researchers and practitioners have been exploring the potential benefits of combining these two technologies. In this study, we cover the fundamentals of blockchain and machine learning and then discuss their integrated use in finance, medicine, supply chain, and security, including a literature review and their contribution to the field such as increased security, privacy, and decentralization. Blockchain technology enables secure and transparent decentralized record-keeping, while machine learning algorithms can analyze vast amounts of data to derive valuable insights. Together, they have the potential to revolutionize industries by enhancing efficiency through automated and trustworthy processes, enabling data-driven decision-making, and strengthening security measures by reducing vulnerabilities and ensuring the integrity of information. However, there are still some important challenges to be handled prior to the common use of blockchain and machine learning such as security issues, strategic planning, information processing, and scalable workflows. Nevertheless, until the difficulties that have been identified are resolved, their full potential will not be achieved.",https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-023-00852-y,
89,"Prabhasri Herath, Xuemei Bai",Benefits and co-benefits of urban green infrastructure for sustainable cities: six current and emerging themes,2024,Sustainability Science,Springer Science+Business Media,https://doi.org/10.1007/s11625-024-01475-9,,145,2026-05-27 20:41:01,article,10.1007/s11625-024-01475-9,1862-4057,,19,3,1039,1063,89,44.50,45,2,2,"Abstract Integrating urban green infrastructure (UGI) into cities is receiving increasing attention owing to its potential to provide various urban ecosystem services (UES). This review assesses the multifaceted services of UGI as benefits and co-benefits. By combining systematic and narrative review processes, we aim to synthesise existing knowledge along six current themes and identify research gaps. A total of 690 peer-reviewed articles published during 2000–2020 from Web of Science were selected, followed by bibliometric and full-text analysis. Based on the frequency of appearance in the network visualisation of keywords, six themes of current trends were identified, namely: (1) benefits of UGI as UES; (2) mitigating climate and urban climate impacts by UGI; (3) UGI contribution to sustainable development goals; (4) reconceptualising greenspaces as ‘safe havens’; (5) public acknowledgement and supportive governance for UGI; and (6) rethinking the operationalisability of UGI. The first two themes represent existing focus on categories of ecosystem services, the next two encompass broader emerging co-benefits and the last two focus on how to operationalise UGI and support widespread adoption and implementation. Within Theme 2, the most frequently discussed service with the largest number of research, we conducted a detailed analysis of the methods and content focus in the existing literature. Through a narrative review, we identified 15 research gaps throughout these 6 themes. This review provides a comprehensive overview for urban researchers and practitioners to inform the integration of urban green infrastructure into urban planning and management.",https://link.springer.com/content/pdf/10.1007/s11625-024-01475-9.pdf,
71,"Aarti Punia, Preeti Gulia, Nasib Singh Gill, Ebuka Ibeke, Celestine Iwendi, Piyush Kumar Shukla",A systematic review on blockchain-based access control systems in cloud environment,2024,Journal of Cloud Computing Advances Systems and Applications,Springer Nature,https://doi.org/10.1186/s13677-024-00697-7,,226,2026-05-27 20:41:01,review,10.1186/s13677-024-00697-7,2192-113X,,13,1,,,71,35.50,12,6,2,"Abstract The widespread adoption of cloud computing has dramatically altered how data is stored, processed, and accessed in an era. The rapid development of digital technologies characterizes all this. The widespread adoption of cloud services has introduced new obstacles to guaranteeing secure and expeditious access to sensitive data. Organizations of all types find user-friendly and cost-effective solutions crucial, which is why they consider cloud services essential. The availability of the cloud hampers access control security in systems that are constantly and remotely changing. Conventional methods of access control are efficient, but the advanced world of technology exposes them to more threats. Applying blockchain technology to cloud access control systems, which are decentralized, transparent, and tamper-proof, has overcome these challenges. This paper aims to discuss the potential of blockchain in enhancing access management, security and trust in cloud computing. Besides, this scholarly article reviews the evolving area of blockchain-based access control systems and synthesizes the findings of 118 selected papers from various academic repositories. Based on this systematic review of the studies, twelve different types of blockchain-based access control paradigms can be identified. This work provides a critical analysis of the research on blockchain technology in access control systems, with a focus on scalability, compatibility, and security challenges. It also highlights areas that require further research and proposes directions for future research to advance this rapidly growing area of scholarship.",https://link.springer.com/content/pdf/10.1186/s13677-024-00697-7.pdf,
64,"Federico Quin, Danny Weyns, Matthias Galster, Camila Costa Silva",A/B testing: A systematic literature review,2024,Journal of Systems and Software,Elsevier BV,https://doi.org/10.1016/j.jss.2024.112011,,258,2026-05-27 20:41:01,article,10.1016/j.jss.2024.112011,0164-1212,,211,,112011,112011,64,32.00,16,4,2,"A/B testing, also referred to as online controlled experimentation or continuous experimentation, is a form of hypothesis testing where two variants of a piece of software are compared in the field from an end user’s point of view. A/B testing is widely used in practice to enable data-driven decision making for software development. While a few studies have explored different facets of research on A/B testing, no comprehensive study has been conducted on the state-of-the-art in A/B testing. Such a study is crucial to provide a systematic overview of the field of A/B testing driving future research forward. To address this gap and provide an overview of the state-of-the-art in A/B testing, this paper reports the results of a systematic literature review that analyzed primary studies. The research questions focused on the subject of A/B testing, how A/B tests are designed and executed, what roles stakeholders have in this process, and the open challenges in the area. Analysis of the extracted data shows that the main targets of A/B testing are algorithms, visual elements, and workflow and processes. Single classic A/B tests are the dominating type of tests, primarily based in hypothesis tests. Stakeholders have three main roles in the design of A/B tests: concept designer, experiment architect, and setup technician. The primary types of data collected during the execution of A/B tests are product/system data, user-centric data, and spatio-temporal data. The dominating use of the test results are feature selection, feature rollout, continued feature development, and subsequent A/B test design. Stakeholders have two main roles during A/B test execution: experiment coordinator and experiment assessor. The main reported open problems are related to the enhancement of proposed approaches and their usability. From our study we derived three interesting lines for future research: strengthen the adoption of statistical methods in A/B testing, improving the process of A/B testing, and enhancing the automation of A/B testing.",https://doi.org/10.1016/j.jss.2024.112011,
54,"Mokter Hossain, Sukyung Park, Nathalia Suchek, Mario Pansera",Circular economy: A review of review articles,2024,Business Strategy and the Environment,Wiley,https://doi.org/10.1002/bse.3867,,340,2026-05-27 20:41:01,review,10.1002/bse.3867,0964-4733,,33,7,7077,7099,54,27.00,14,4,2,"Abstract The circular economy (CE) has emerged as a focal point in discussions surrounding sustainable development, industrial production, and resource efficiency. While it has garnered attention as a ground‐breaking paradigm with the potential to harmonize economic, societal, and environmental dynamics, divergent perspectives and critical inquiries have surfaced. This paper delves into the interdisciplinary literature on CE, exploring the interpretative flexibility inherent in its conceptualization. Acknowledging the diverse range of strategies associated with the CE, the study contends with the potential risks of its misappropriation, emphasizing the importance of understanding its systemic socio‐ecological implications. With an umbrella review approach, rarely applied in social sciences, the study navigates through 167 review articles, unveiling thematic trends and identifying gaps within the existing literature. By scrutinizing the techno‐managerial dominance within CE discussions, the paper calls attention to the overshadowing of numerous critical issues. It highlights the importance of systematic attention to CE's social aspects, essential to provide insights into how policies, strategies, and actions affect the society, as well as the emerging discussion on the alternative social transformative paradigm. The paper concludes with a three‐stage study design: a meticulous review of 167 articles, a thematic analysis revealing trends, and a reflective exploration of potential research avenues. This review serves as a comprehensive guide for scholars and practitioners for a holistic understanding of CE and encouraging contributions to address identified gaps and fostering the evolution of CE literature.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bse.3867,
52,"Rui José, Helena Rodrigues",A Review on Key Innovation Challenges for Smart City Initiatives,2024,Smart Cities,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/smartcities7010006,,358,2026-05-27 20:41:01,review,10.3390/smartcities7010006,2624-6511,,7,1,141,162,52,26.00,26,2,2,"Smart city initiatives are being promoted across the world to address major urban challenges, and they all share a common belief in the transformative power of digital technologies. However, the pace of innovation in smart cities seems to be much slower than the rapid and profoundly disruptive transformations brought about by digital innovation in many other domains. To develop new insights about the main causes behind this relatively modest success, this study provides a Systematic Literature Review (SLR) on the connection between major smart city challenges and the essential properties of digital innovation. The review involved the qualitative analysis of 44 research papers reporting on smart city innovation practices and outcomes. The results characterize five major challenge categories for smart city innovation: Strategic vision; Organizational Capabilities and Agility; Technology Domestication; Ecosystem Development; and Transboundary Innovation. This study also explores the connections between these challenges and concrete digital innovation practices in smart city initiatives. The main conclusion is that current innovation practices in smart cities are not properly aligned with what the research literature commonly describes as core properties of digital innovation and that this might be a major cause behind the limited progress in smart city initiatives.",https://www.mdpi.com/2624-6511/7/1/6/pdf?version=1704196736,
