Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"Jianxian Wu, Xin Nie, Han Wang",Are policy mixes in energy regulation effective in curbing carbon emissions? Insights from China's energy regulation policies,2023,Journal of Policy Analysis and Management,Wiley,https://doi.org/10.1002/pam.22535,,446,2026-05-27 20:41:01,article,10.1002/pam.22535,0276-8739,,43,4,1152,1184,45,15.00,15,3,3,"Abstract We consider the policy mixes of three categories of energy regulation policies in China: renewable energy law (mandatory policy), low‐carbon city pilot (voluntary policy), and carbon emissions trading system (market‐based policy). The mix of mandatory, voluntary, and market‐based policies mitigates 4.359 million metric tons of carbon emissions. Voluntary and market‐based energy policies work, while mandatory policy fails due to rent‐seeking by local officials. Policy mixes are more effective in undeveloped and politically average regions than in developed and politically rich ones. Government attention, industrial structure, and green innovation are the economic mechanisms; consistency, coherence, credibility, and comprehensiveness are the policy mechanisms. Our study highlights that policy category, rather than policy quantity, matters more in determining policy effect.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pam.22535,
38,"Chuan Zhao, Fuxi Liu",Impact of housing policies on the real estate market - Systematic literature review,2023,Heliyon,Elsevier BV,https://doi.org/10.1016/j.heliyon.2023.e20704,,531,2026-05-27 20:41:01,review,10.1016/j.heliyon.2023.e20704,2405-8440,,9,10,,,38,12.67,19,2,3,"Real estate majorly contributes to the national gross domestic product (GDP) growth, occupying an important position in the national economy. It is the largest fixed asset for households. The real estate market is associated with a wide range of economic aspects with more upstream and downstream enterprises. Simultaneously, the factors affecting the real estate market are complex and variable. Fluctuations in the real estate market affect the entire economic system. This requires the government to formulate relevant housing policies to stabilize the operation of the real estate market. Therefore, it is meaningful to study the impact of housing policies on the real estate market and provide reasonable opinions for the housing sector in formulating policies. This study adopts a systematic quantitative literature review to examine the impact of housing policies on the real estate market. This study finds that housing policies affecting the real estate market can be divided into the following three categories: monetary, tax, and macro-prudential policies. Changes in supply and demand in the real estate market primarily reflect the effectiveness of policies, with housing price factors as the transmission mechanism. Furthermore, the influence of housing policies from different countries and regions on real estate market factors is compared to provide a reference for scholars to pursue further study.",http://www.cell.com/article/S2405844023079124/pdf,
35,"Wai-Kit Ng, Fu-Tien Hsu, Cheng-Fu Chao, Chun-Liang Chen",Sustainable Competitive Advantage of Cultural Heritage Sites: Three Destinations in East Asia,2023,Sustainability,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/su15118593,,616,2026-05-27 20:41:01,article,10.3390/su15118593,2071-1050,,15,11,8593,8593,35,11.67,9,4,3,"Cultural heritage plays an important role in the creation of creative cities, giving them a new lease of life and generating employment opportunities and local economies in the process. The revitalisation and development of cultural heritage and intangible cultural heritage have become a major part of national development policies worldwide. This study adopts a multiple case analysis approach. Four cultural heritages of three destinations in East Asia (Hong Kong, Macau and Taiwan) were selected as case studies because they have all adopted a public–private partnership approach to the conservation and reuse of historic buildings. In this study, semi-structured interviews were conducted and secondary data collected from a variety of sources to bring the findings of this study closer to the practical development of cultural heritage. Base on Five Forces analysis, we propose an “Extended Five Forces” model of cultural heritage. The new component, i.e., historical landscapes and cultural sustainability, is proposed to expand the theoretical foundations of the sustainable management of cultural heritage. The findings show how they can collaborate with communities to create value and gain a sustainable competitive advantage on a global scale and contribute to the sustainable management of cultural heritage in Asia.",https://www.mdpi.com/2071-1050/15/11/8593/pdf?version=1685009146,
75,"Felix Lorenz, Jonas Willwersch, Marcelo Cajias, Franz Fuerst",Interpretable machine learning for real estate market analysis,2022,Real Estate Economics,Wiley,https://doi.org/10.1111/1540-6229.12397,,207,2026-05-27 20:41:01,article,10.1111/1540-6229.12397,1080-8620,,51,5,1178,1208,75,18.75,19,4,4,"Abstract Machine Learning (ML) excels at most predictive tasks but its complex nonparametric structure renders it less useful for inference and out‐of sample predictions. This article aims to elucidate and enhance the analytical capabilities of ML in real estate through Interpretable ML (IML). Specifically, we compare a hedonic ML approach to a set of model‐agnostic interpretation methods. Our results suggest that IML methods permit a peek into the black box of algorithmic decision making by showing the web of associative relationships between variables in greater resolution. In our empirical applications, we confirm that size and age are the most important rent drivers. Further analysis reveals that certain bundles of hedonic characteristics, such as large apartments in historic buildings with balconies located in affluent neighborhoods, attract higher rents than adding up the contributions of each hedonic characteristic. Building age is shown to exhibit a U‐shaped pattern in that both the youngest and oldest buildings attract the highest rents. Besides revealing valuable distance decay functions for spatial variables, IML methods are also able to visualise how the strength and interactions of hedonic characteristics change over time, which investors could use to determine the types of assets that perform best at any given stage of the real estate investment cycle.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1540-6229.12397,
42,Jelke R. Bosma,"Platformed professionalization: Labor, assets, and earning a livelihood through Airbnb",2022,Environment and Planning A Economy and Space,SAGE Publishing,https://doi.org/10.1177/0308518x211063492,,484,2026-05-27 20:41:01,article,10.1177/0308518x211063492,0308-518X,,54,4,595,610,42,10.50,42,1,4,"This paper analyses processes of professionalization on Airbnb in Berlin, exploring who is able to take part most successfully in urban value creation processes facilitated by short-term rental platforms. In doing so, it intervenes in debates on platform urbanism that focus on the role of digital platforms in reconfiguring urban governance and livelihoods. Combining a political economic approach and affordance theory, I conceptualize professionalization as a particular platform logic that benefits Airbnb and hosts who are able to take part, while reinforcing existing inequalities. Drawing on eight months of fieldwork in Berlin, I show how these professionalization practices differentially affect the strategies and practices of hosts, offering benefits to some while worsening the position of others who are unable or unwilling to professionalize. As such, professionalization processes produce inequalities and power asymmetries both on and off the platform, between hosts as well as between the platform owner and platform users. In a context where a growing number of city-dwellers rely on platforms to generate their livelihoods, such power shifts resulting from platform dynamics have a significant impact on who is able to benefit from platformization and thrive in a platform society.",https://doi.org/10.1177/0308518x211063492,
40,"Ceridwen Owen, James W. Crane",Trauma-Informed Design of Supported Housing: A Scoping Review through the Lens of Neuroscience,2022,International Journal of Environmental Research and Public Health,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/ijerph192114279,,509,2026-05-27 20:41:01,review,10.3390/ijerph192114279,1660-4601,,19,21,14279,14279,40,10.00,20,2,4,"There is growing recognition of the importance of the design of the built environment in supporting mental health. In this context, trauma-informed design has emerged as a new field of practice targeting the design of the built environment to support wellbeing and ameliorate the physical, psychological and emotional impacts of trauma and related pathologies such as Post Traumatic Stress Disorder (PTSD). With high levels of prevalence of PTSD among people escaping homelessness and domestic violence, a priority area is the identification and application of evidence-based design solutions for trauma-informed supported housing. This study sought to examine the scope of existing evidence on the relationship between trauma, housing and design and the correlation of this evidence with trauma-informed design principles, and to identify gaps and opportunities for future research. In response to the commonly articulated limitations of the evidence-base in built environment design research, we combined a scoping review of literature on trauma, housing and design with insights from neuroscience to focus and extend understanding of the opportunities of trauma-informed design. We found that while limited in scope, there is strong alignment between existing evidence and the principles of trauma-informed design. We also identify three areas of future research related to the key domains of safety and security; control; and enriched environments.",https://www.mdpi.com/1660-4601/19/21/14279/pdf?version=1667305993,
40,"Jelke R. Bosma, Niels van Doorn",The Gentrification of Airbnb: Closing Rent Gaps Through the Professionalization of Hosting,2022,Space and Culture,SAGE Publishing,https://doi.org/10.1177/12063312221090606,,512,2026-05-27 20:41:01,article,10.1177/12063312221090606,1206-3312,,27,1,31,47,40,10.00,20,2,4,"In this article, we argue that it is analytically productive to think about the professionalization of hosting on Airbnb in terms of (commercial) gentrification. More precisely, we believe that rent gap theory is helpful to advance our understanding of why and how professionalized hosting has become an increasingly salient phenomenon and for centering the active role of Airbnb as a platform operator. We develop the notion of platform-scale rent gaps to explain the economic logic that drives Airbnb to professionalize its hosts and gentrify its platform. We then discuss Airbnb’s professionalization programs and tools, showing how some of its most substantial resources primarily cater to large-scale property managers who, like Airbnb itself, seek to identify and close rent gaps on the platform. This consequently creates the conditions for uneven business development opportunities among hosts, which we illustrate by focusing on how two different types of hosts have sought to professionalize their business in Berlin. Finally, we conclude by speculating on the relationship between the gentrification of the Airbnb platform and urban gentrification.",https://doi.org/10.1177/12063312221090606,
36,"Robert Wade, Geraint Ellis","Reclaiming the Windy Commons: Landownership, Wind Rights, and the Assetization of Renewable Resources",2022,Energies,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/en15103744,,582,2026-05-27 20:41:01,article,10.3390/en15103744,1996-1073,,15,10,3744,3744,36,9.00,18,2,4,"The ‘second phase’ of the energy transition involves large-scale rollout of renewables, raising wider questions about arrangements for the management and ownership of such resources and how costs and benefits should be distributed. Ideas and practices such as ‘community energy’ and ‘prosumption’ capture the potential for more decentralised systems of ownership and control inherent in renewable energy technologies. However, until now, ownership and control of the key biophysical resources (e.g., wind, wave, solar, geothermal) underpinning the transition have received surprisingly little attention, given the potential for wealth creation and issues of justice that underpin their use. This paper explores this issue using the idea of ‘wind rights’, which highlights the numerous social actors who have rights or claims to use and benefit from wind resources. Key among these are landowners who are silently enclosing the ‘windy commons’ to extract ‘wind rents’ from monopoly property rights. This has profound (but undertheorised) distributive and structural ramifications for the energy transition. Despite this, and with some recent notable exceptions, much energy transition research in social science and humanities portrays landowners as taken-for-granted, apolitical, and sometimes marginal (ised) stakeholders. Combining a Marxist, class-based approach to landownership and wind rent with Ostromian institutional analysis, this paper reviews and expands the (predominantly legal) literature on wind rights. This deepens the understanding of the concept of ‘wind rights’, highlighting that in many instances wind resources are de facto privatised/enclosed via ‘proxy wind rights’ for landowners. We also indicate some alternative wind rights configurations, including nationally and commonly managed wind resources. This analysis leads to a consideration of the potential long-term benefits of alternative socially orientated property rights arrangements, including community wind rights or nationalisation of the wind resource. These social wind rights arrangements could play a key role in securing a more just and widely supported transition.",https://www.mdpi.com/1996-1073/15/10/3744/pdf?version=1653044613,
33,"Chiara Garau, Giulia Desogus, Benedetto Barabino, Mauro Coni",Accessibility and Public Transport Mobility for a Smart(er) Island: Evidence from Sardinia (Italy),2022,Sustainable Cities and Society,Elsevier BV,https://doi.org/10.1016/j.scs.2022.104145,,658,2026-05-27 20:41:01,article,10.1016/j.scs.2022.104145,2210-6707,,87,,104145,104145,33,8.25,8,4,4,"The purpose of this paper is to highlight the critical aspects of islands context transportation accessibility by suggesting a more innovative, safer, and more sustainable framework for public transport service (PTS) and place-based organisation, as well as by integrating the latest tendencies in mobility. Specifically, this research focuses on multimodal integration models for PTS that consider the existing infrastructure system and the socioeconomic issues typical of an island environment. This topic has received inadequate consideration in the scientific literature on islands. To achieve these aims, an analytical-numerical approach is adopted. Starting from initial origin-destination matrices (O/D) surveyed by the National Institute of Statistics (ISTAT), a methodology was implemented to compute the geographical distribution of trips, and thereafter, the values distributed over the whole region were interpolated by Surfer software with the Kriging method. This methodology was applied to the Sardinia case study particularly emblematic because it has seen a tremendous transition over the previous decades, resulting in a massive socio-economic gap between inland and coastal areas, that led to an increase in private vehicles for transportation purposes, primarily for business and pleasure. The application, replicable in other islands that have highlighted the same socio-economic problems linked to poor mobility planning, shows an accessible spatial planning approach, combining PTS and rental for driver services, by considering the principles and issues of island contexts. This research gives an important scientific contribution by emphasising the quality of transport infrastructures, place-based organisation, population distribution, and physical configuration of the Insular Region, as well as by considering the most pressing issues of island contexts. Findings could help island governments in revising their policy and practice of transport, accordingly.",https://doi.org/science/article/pii/S2210670722004589,
28,"Guanyao Li, Xiaofeng Wang, Gunarto Sindoro Njoo, Shuhan Zhong, S.-H. Gary Chan, Chih‐Chieh Hung, Wen-Chih Peng",A Data-Driven Spatial-Temporal Graph Neural Network for Docked Bike Prediction,2022,2022 IEEE 38th International Conference on Data Engineering (ICDE),,https://doi.org/10.1109/icde53745.2022.00058,,801,2026-05-27 20:41:01,article,10.1109/icde53745.2022.00058,,,,,713,726,28,7.00,4,7,4,"Docked bike systems have been widely deployed in many cities around the world. To the service provider, predicting the demand and supply of bikes at any station is crucial to offering the best service quality. The docked bike prediction problem is highly challenging because of the complicated joint spatial-temporal (ST) dependency as bikes are picked up and dropped off, the so-called “flows”, between stations. Prior works often considered the spatial and temporal dependencies separately using sequential network models, and based on locality assumptions. Without sufficiently capturing the joint spatial and temporal features, these approaches are not optimal for attaining the best prediction accuracy. We propose STGNN-DJD, a novel data-driven Spatial-Temporal Graph Neural Network to solve the bike demand and supply prediction problem by unifiedly embedding the Dynamic and Joint ST Dependency in two novel ST graphs. Given station locations and historical rental data on bike flow over the past time slots 0 to <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$t-1$</tex> , we seek to predict online the bike demand and supply at any station at time <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$t$</tex> . To extract joint spatial-temporal dependency, STGNN-DJD employs a graph generator to construct, at the beginning of time <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$t$</tex> , two graphs that embed the flow relationships between stations at various time slots (flow-convoluted graph) and dynamic demand-supply pattern correlation between stations (pattern correlation graph), respectively. Given the two spatial-temporal graphs, STGNN-DJD subsequently employs a graph neural network with novel flow-based and attention-based aggregators to generate embedding of each station for docked bike prediction. We have conducted extensive experiments on two large bike-sharing datasets. Our re-sults confirm the effectiveness of STGNN-DJD as compared with other state-of-the-art approaches, with significant improvement on RMSE and MAE (by 20%-50%). We also provide a case study on dynamic dependencies between stations and demonstrate that the locality assumption does not always hold for a docked bike system.",https://repository.hkust.edu.hk/ir/bitstream/1783.1-118185/1/043210_1.pdf,
