Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Akas Bagus Setiawan, Eka Yuniar, Mas'ud Hermansyah, Mujiono Mujiono, David Juli Ariyadi","Decision Support System for Selecting the Best Rental House with Weight Product in Sidokare District, Sidoarjo Regency",2026,G-Tech: Jurnal Teknologi Terapan,"Fakultas Sains dan Teknologi, Unira Malang",https://doi.org/10.70609/g-tech.v10i1.8865,,26,2026-05-27 21:00:15,journal-article,10.70609/g-tech.v10i1.8865,2623-064X,,10,1,536,548,0,0.00,0,5,1,"The demand for rental housing in high-mobility areas such as Sidokare District, Sidoarjo Regency, continues to increase along with the region's economic development. However, prospective tenants often face difficulties in selecting the right rental house due to unstructured information and subjective decision-making processes. This study aims to develop a web-based Decision Support System (DSS) capable of providing objective and measurable rental housing recommendations. The method used is the Weighted Product (WP), a multicriteria decision-making technique that normalizes weights through multiplication operations. This system evaluates five rental housing alternatives based on eight main criteria, including price, location, facilities, security, and comfort. The results show that Sukun Rental House is the best alternative with the highest preference value of 0.0769. The practical implication of this study is the availability of an efficient digital tool for residents and students in Sidokare to compare various housing options transparently and quickly. This system successfully minimizes subjectivity in housing selection and helps users find the housing that best suits their financial priorities and functional needs.",https://ejournal.uniramalang.ac.id/g-tech/article/download/8865/5564,
0,"Sri Indrayani, Sintha Istikomah",Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design,2026,bit-Tech,Komunitas Dosen Indonesia,https://doi.org/10.32877/bt.v8i3.3722,,55,2026-05-27 21:00:15,journal-article,10.32877/bt.v8i3.3722,2622-2728,,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.",https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993,
0,"Zaskia Darajat Wahab, Dedy Hendryadi, Sri Asfirawati Halik",HOUSE RENTAL INFORMATION SYSTEM AT BULUKUMBA REGENCY WITH WEBSITE BASED,2025,"Journal Informatika, Multimedia, and Infomation",Universitas Ichsan Sidenreng Rappang,https://doi.org/10.61912/lajutek.v3i1.129,,44,2026-05-27 21:00:15,journal-article,10.61912/lajutek.v3i1.129,2987-7377,,3,1,1,11,0,0.00,0,3,1,"This research aims to: (1) Design a website-based rental information system in the Bulukumba city area. (2) Implementing a website-based rental information system in the Bulukumba city area. (3) Knowing the response of users of the website-based rental information system in the Bulukumba city area. The research method used in this research is the System Development Life Cycle (SDLC) method with the Waterfall Model. It has several stages, namely: requirements analysis, design, implementation, testing, and maintenance. The data collection used was: Interviews, Literature Study and Documentation. The results of this research are: (1) This website-based rental information system was designed using the Unified Modeling Language (UML) and programmed using the PHP programming language so that it can make it easier and faster for customers to search for rentals. (2) Result of implementing a website-based rental information system in Bulukumba district, that is, with this website, it can provide fast service to potential customers when they want to rent a rental. (3) The results of testing the use of the system using a Likert scale obtained a score of 89.7% from 20 respondents, which is very positive.",https://journal.lajagoe.com/index.php/Lajutek/article/download/129/134,
0,"Aulia Putri, Tri Kurniawati",Analysis of the Application of the Hedonic Price Method in Setting House Rental Prices in the Coastal Area of Padang City,2025,Jurnal Economic Resource,Universitas Muslim Indonesia,https://doi.org/10.57178/jer.v8i2.1607,,72,2026-05-27 21:00:15,journal-article,10.57178/jer.v8i2.1607,2620-6196,,8,2,1098,1106,0,0.00,0,2,1,"This research investigates how structural, location, and environmental attributes impact residential rental rates in Padang City, a region challenges by disaster risks and limited facility access. The study aims to identify key determinants affecting rental costs. A quantitative research design was employed, utilizing questionnaires for data collection, followed by analysis through multiple linear regression. Finding reveal that all three independent variables significantly affect rental pricing, as reflected by an F-value of 61,607, substantially surpassing the critical threshold of 2,69. These insights are valuable for shaping more effective housing policy strategies.",https://jurnal.feb-umi.id/index.php/JER/article/download/1607/1212,
0,"Rully Sandy Pratama, Ivan Dwi Fibrian, Mohamad Ali Murtadho",Sistem Informasi Manajemen Rental PS dengan Fitur Reservasi (Studi kasus: Rossy Game House Mojokerto),2025,Jurnal Tekno Kompak,Universitas Teknokrat Indonesia,https://doi.org/10.33365/jtk.v19i2.245,,82,2026-05-27 21:00:15,journal-article,10.33365/jtk.v19i2.245,2656-3525,,19,2,331,342,0,0.00,0,3,1,"Permintaan terhadap layanan rental PlayStation (PS) terus mengalami peningkatan seiring dengan tingginya minat masyarakat terhadap hiburan digital. Rental PS dipilih sebagai objek penelitian karena banyak pelaku usaha di bidang ini masih menggunakan sistem manajemen secara manual, seperti pencatatan pemesanan di buku tulis atau file spreadsheet sederhana, serta konfirmasi reservasi yang dilakukan melalui komunikasi langsung seperti telepon atau pesan singkat. Cara kerja ini rentan terhadap kesalahan pencatatan, duplikasi data, hilangnya data penting, dan menyulitkan dalam pelacakan riwayat transaksi. Penelitian ini bertujuan untuk merancang dan mengembangkan sistem informasi manajemen rental PS berbasis web yang dilengkapi dengan fitur reservasi online. Pengembangan sistem dilakukan dengan metode pengembangan Waterfall yang mencakup tahap analisis kebutuhan, perancangan, implementasi, pengujian, dan pemeliharaan. Sistem yang dibangun menyediakan fitur seperti registrasi dan login pengguna, pemesanan PS secara daring, pengelolaan data oleh admin, serta pemantauan aktivitas reservasi secara real-time. Hasil implementasi menunjukkan bahwa sistem dapat membantu pelaku usaha dalam mengelola data dengan lebih terstruktur, mempercepat proses reservasi, dan memberikan kemudahan bagi pelanggan dalam mengakses layanan. Dengan demikian, sistem ini menjadi solusi digital yang mampu menjawab tantangan pengelolaan rental PS di era teknologi saat ini.",https://publikasi.teknokrat.ac.id/index.php/teknokompak/article/download/245/142,
0,"Generosa Lukhayu Pritalia, Oktavianus Darren, Priadi Wibisono",Understanding User Adoption Of Indonesia’s Boarding House Rental App Through The Extended Technology Acceptance Model,2025,Jurnal Teknologi Sistem Informasi dan Aplikasi,Universitas Pamulang,https://doi.org/10.32493/jtsi.v8i3.44988,,90,2026-05-27 21:00:15,journal-article,10.32493/jtsi.v8i3.44988,2654-4229,,8,3,160,169,0,0.00,0,3,1,"The Mamikos mobile application has become a popular platform for housing seekers in Indonesia. It has garnered a rating of 4.1 on the Play Store and 4.7 on the App Store. However, the factors influencing user acceptance and usage of the Mamikos mobile application remain unclear. This study aims to examine these factors using the extended Technology Acceptance Model (TAM) approach. Data was collected using purposive sampling. The Lemeshow formula was employed to determine the appropriate sample size, resulting in 168 respondents. Data analysis was conducted using the Structural Equation Modeling - Partial Least Squares (SEM-PLS) method. The findings indicate that social trust has a significant positive influence on both perceived usefulness and perceived ease of use. Perceived ease of use, in turn, has a significant positive influence on both perceived usefulness and attitude towards use. Subjective norms exert a significant positive influence on attitude towards use. Perceived usefulness significantly impacts attitude towards use, which in turn significantly affects intention to use. Intention to use has a significant positive influence on actual system usage. However, subjective norms do not significantly influence perceived usefulness.",https://openjournal.unpam.ac.id/index.php/JTSI/article/download/44988/27711,
0,"ARYAN UPADHYAY -, AYYAN SHAIKH -, KARTIK JANE -, MANISH CHAUDHARI -, KARTIK SHAHU -",RentEase: An Intuitive Rental Management Platform,2025,International Journal on Science and Technology,International Research Publication and Journals,https://doi.org/10.71097/ijsat.v16.i2.5128,,199,2026-05-27 21:00:15,journal-article,10.71097/ijsat.v16.i2.5128,2229-7677,,16,2,,,0,0.00,0,5,1,"RentEase is an intuitive rental management app designed to simplify the process of finding and managing rental accommodations for both tenants and property owners. It provides comprehensive details on available properties, including pricing, location, amenities, and verified homeowner contact information. Key features like homeowner verification, tenant ratings, and reviews enhance trust and security. The platform also offers efficient communication between tenants and landlords. Built on advanced technologies such as cloud computing and real-time data synchronization, RentEase ensures a seamless user experience. Future enhancements include AI-powered property recommendations, virtual house tours, and automated tenant screening to further improve the rental process.",https://www.ijsat.org/papers/2025/2/5128.pdf,
0,"Jong Chung Jin, Steward Giman Stephen",Exploring Rental Property Management Best Practices for Private Investors in Malaysia: A Secondary Data Analysis,2025,Malaysian Journal of Social Sciences and Humanities (MJSSH),Secholian Publication,https://doi.org/10.47405/mjssh.v10i10.3622,,476,2026-05-27 21:00:15,journal-article,10.47405/mjssh.v10i10.3622,2504-8562,,10,10,,,0,0.00,0,2,1,"Malaysia’s rental property sector has experienced rapid growth due to increased urbanization, changing lifestyle preferences, and rising housing unaffordability, prompting more individuals to rent rather than buy. Despite this trend, limited empirical research has examined effective management practices for private investors, resulting in operational inefficiencies, inconsistent tenant relations, and untapped investment potential. Addressing this gap, the present study explores best practices in rental property management within the Malaysian context to identify strategies that optimize financial performance and tenant satisfaction. The study aims to (1) analyse current rental property management approaches and (2) develop a synthesized framework of best practices applicable to private investors. A secondary data analysis method was employed, involving a comprehensive review of scholarly literature, industry reports, policy documents, and real estate publications. Thematic analysis was conducted to extract recurring patterns, key strategies, and underlying management principles. Eight major themes emerged: strategic outsourcing, tenant relations, operational efficiency, property maintenance, competitive positioning, market and life-cycle understanding, risk management, and technology integration. The findings reveal that adopting systematic management strategies, cultivating long-term partnerships, emphasizing preventive maintenance, and leveraging digital tools can enhance profitability, tenant retention, and property value. In conclusion, the study underscores the importance of a holistic and data-driven approach to rental property management. It suggests that policymakers establish standardized guidelines and training for property managers, while future researchers should incorporate primary data to validate and expand on these insights. The research thus bridges theoretical understanding and practical application within Malaysia’s evolving property landscape.",https://www.msocialsciences.com/index.php/mjssh/article/download/3622/2359,
23,"Dallas Rogers, Sophia Maalsen, Peta Wolifson, Desiree Fields",Proptech and the private rental sector: New forms of extraction at the intersection of rental properties and platform rentierisation,2024,Urban Studies,SAGE Publications,https://doi.org/10.1177/00420980241262916,,685,2026-05-27 21:00:15,journal-article,10.1177/00420980241262916,0042-0980,,61,14,2778,2794,23,11.50,6,4,2,"Private renting increasingly comprises a complex ecosystem of actors who assemble housing within the market, and collect rental income and data from tenants, and data on the material assets themselves. Our analysis – at the intersection of rentier and platform capitalism – focuses on landed (material real estate) and technological (digital infrastructure and data) property in Australia’s private rental system. Drawing out relationships between the various actors – landlords, rental property managers and real estate agencies, software developers and providers, property developers and investors – and both their properties and their uses of Proptech (property technology), we show how housing and technology are being leveraged for profit in new ways. In Australia, landed property retains its precedence for established (individual and institutional) landlords, whose interest in Proptech relates to enhancing or value-adding to rental housing assets. For Proptech and institutional real estate players seeking to consolidate both landed and technology property, capturing the tech landscape is increasingly important; indeed, securing control and/or consolidation of technology property is a key motivation for building and/or using Proptech among the largest property developers. Our findings show how rent extraction operates across and between different types and scales of property and market actors, and in new ways that differentiate the figure of the rentier while upholding the dynamics of the rentier model.",https://journals.sagepub.com/doi/pdf/10.1177/00420980241262916,
1,"Andika Saputra Muharam, Solihin Solihin, Eko Retnaldi, Eti Rahmawati, Lilis Emalia",Website-Based Boarding House Rental Information System: Case Study at Pondok Saluyu Company,2024,"Journal of Economics, Management, and Entrepreneurship",Sekolah Tinggi Ilmu Ekonomi Pasundan,https://doi.org/10.55208/jeme.v2i2.174,,20,2026-05-27 21:00:15,journal-article,10.55208/jeme.v2i2.174,3026-0906,,2,2,146,163,1,0.50,0,5,2,"A traditional information management system is still in use at Pondok Saluyu, a boarding house in Bandung City. This method is unsuccessful or inefficient, particularly regarding marketing and providing potential tenants with information. This project aims to create and implement a web-based information system to facilitate digital payments, streamline the online room rental procedure, and distribute information more efficiently. Agile development, which enables quick development, adapts to change, and actively incorporates all relevant parties in the process, is the system development methodology employed. The findings of this study should make it easier for boarding house operators to verify room availability, manage boarding rooms, and handle tenant transactions. Additionally, this website will serve as a more contemporary form of advertising. The use of mobile/Android applications for system optimization, payment gateways to enhance payment systems, the creation of more comprehensive applications, and the improvement and development of programs in line with technological advancements are some recommendations for future development.",https://journal.lemlit.org/index.php/jeme/article/download/127/203,
