Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"humdeielo lalai","Rental House, 4.2 by Weike Wang (Audiobook)",2026,"","ResearchHub Technologies, Inc.","https://doi.org/10.55277/researchhub.2tn14rg2.1","",4,"2026-05-27 21:00:15","report","10.55277/researchhub.2tn14rg2.1","",,,,,,0,0.00,0,1,1,"","",""
0,"Alexandre Garel, Eva Cheng","Minimum Energy Performance Standards and House Price Capitalization: Evidence from France’s Rental Ban on “Energy Sieves”",2026,"","Elsevier BV","https://doi.org/10.2139/ssrn.6109023","",18,"2026-05-27 21:00:15","posted-content","10.2139/ssrn.6109023","",,,,,,0,0.00,0,2,1,"","",""
0,"Akas Bagus Setiawan, Eka Yuniar, Mas'ud Hermansyah, Mujiono Mujiono, David Juli Ariyadi","Decision Support System for Selecting the Best Rental House with Weight Product in Sidokare District, Sidoarjo Regency",2026,"G-Tech: Jurnal Teknologi Terapan","Fakultas Sains dan Teknologi, Unira Malang","https://doi.org/10.70609/g-tech.v10i1.8865","",26,"2026-05-27 21:00:15","journal-article","10.70609/g-tech.v10i1.8865","2623-064X",,10,1,536,548,0,0.00,0,5,1,"The demand for rental housing in high-mobility areas such as Sidokare District, Sidoarjo Regency, continues to increase along with the region's economic development. However, prospective tenants often face difficulties in selecting the right rental house due to unstructured information and subjective decision-making processes. This study aims to develop a web-based Decision Support System (DSS) capable of providing objective and measurable rental housing recommendations. The method used is the Weighted Product (WP), a multicriteria decision-making technique that normalizes weights through multiplication operations. This system evaluates five rental housing alternatives based on eight main criteria, including price, location, facilities, security, and comfort. The results show that Sukun Rental House is the best alternative with the highest preference value of 0.0769. The practical implication of this study is the availability of an efficient digital tool for residents and students in Sidokare to compare various housing options transparently and quickly. This system successfully minimizes subjectivity in housing selection and helps users find the housing that best suits their financial priorities and functional needs.","https://ejournal.uniramalang.ac.id/g-tech/article/download/8865/5564",""
0,"Yingjia Wang","Fashion rental platform operations",2026,"Encyclopedia in Operations Management","Elsevier","https://doi.org/10.1016/b978-0-443-28993-4.00168-2","",49,"2026-05-27 21:00:15","book-chapter","10.1016/b978-0-443-28993-4.00168-2","",,,,663,672,0,0.00,0,1,1,"","https://api.elsevier.com/content/article/PII:B9780443289934001682",""
1,"Beatriz Brito Oliveira","Car rental fleet and demand management: An optimization framework",2026,"Encyclopedia in Operations Management","Elsevier","https://doi.org/10.1016/b978-0-443-28993-4.00199-2","",50,"2026-05-27 21:00:15","book-chapter","10.1016/b978-0-443-28993-4.00199-2","",,,,204,215,1,1.00,1,1,1,"","https://api.elsevier.com/content/article/PII:B9780443289934001992",""
1,"Myeongwon Seo","Gaps and overlaps in facilities of urban public rental housing for single-person households: the case of Seoul’s happy housing",2026,"Open House International","Emerald","https://doi.org/10.1108/ohi-08-2025-0285","",54,"2026-05-27 21:00:15","journal-article","10.1108/ohi-08-2025-0285","0168-2601",,,,1,19,1,1.00,1,1,1,"Purpose: This study aims to evaluate the spatial efficiency and functional integration of communal facilities and social infrastructure in public rental housing for single-person households in Seoul. Design/methodology/approach: This study examines the spatial efficiency and functional integration of facilities for single-person households in public rental housing in central Seoul. It adopts a broad concept of the residential environment, covering both on-site communal facilities and surrounding social infrastructure within a 10-min walking distance. Findings: The results reveal a clear imbalance in facility provision. Convenience and management-related facilities are consistently oversupplied within housing complexes, while essential public-oriented facilities – such as youth welfare, cultural and healthcare services – are markedly underprovided both on-site and in surrounding areas. In addition, functional redundancy is observed in facilities such as community spaces and convenience stores, indicating inefficient spatial use. Research limitations/implications: Although based on accessibility indicators and a limited sample, the findings highlight the need to shift from complex-centered facility provision toward integrated, living-zone-based planning. Social implications: The study provides insights for improving public rental housing environments and enhancing welfare services for the rapidly growing single-person household population. Originality/value: By jointly analyzing on-site communal facilities and off-site social infrastructure, this study offers an integrated perspective largely absent from prior research and highlights redistribution and multifunctional integration as key strategies for improving urban public rental housing.","https://www.emerald.com/ohi/article-pdf/doi/10.1108/OHI-08-2025-0285/11356839/ohi-08-2025-0285en.pdf",""
0,"Sri Indrayani, Sintha Istikomah","Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design",2026,"bit-Tech","Komunitas Dosen Indonesia","https://doi.org/10.32877/bt.v8i3.3722","",55,"2026-05-27 21:00:15","journal-article","10.32877/bt.v8i3.3722","2622-2728",,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.","https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993",""
0,"Hafidz Arifanto, Alif Catur Murti, Rizkysari Meimaharani","WEB PORTAL-BASED MANAGEMENT INFORMATION SYSTEM FOR WEDDING ORGANIZER SERVICE RENTAL",2026,"Rabit : Jurnal Teknologi dan Sistem Informasi Univrab","LPPM Universitas Abdurrab","https://doi.org/10.36341/rabit.v11i1.7417","",58,"2026-05-27 21:00:15","journal-article","10.36341/rabit.v11i1.7417","2502-891X",,11,1,1818,1830,0,0.00,0,3,1,"Wedding Organizer (WO) provides specialized services that assist couples and their families from the planning stage to event implementation. However, the current WO service process still faces several issues, including manual information distribution, difficulty comparing service packages, lack of customer review history, and limited digital service marketing. These conditions create challenges for new WO businesses in gaining market visibility and hinder customers from selecting services based on quality and verified feedback. To address these problems, this study develops a Web Portal-Based Management Information System that enables users to access WO information, compare packages, make bookings, and submit reviews through an integrated platform. The system was developed using the Waterfall model, beginning with requirements analysis obtained through interviews and thematic analysis. System functionality was tested using Black-box Testing to ensure each feature operates according to specifications. The results show that all modules package comparison, booking and payment verification, partner management, and user review function correctly and support users in making more informed decisions. This system also improves WO visibility through digital-based service promotion.","https://jurnal.univrab.ac.id/index.php/rabit/article/download/7417/3020",""
0,"Anshuman Chutani, Lina Zhang, Yumeng Zhang","Rental platform operations",2026,"Encyclopedia in Operations Management","Elsevier","https://doi.org/10.1016/b978-0-443-28993-4.00233-x","",63,"2026-05-27 21:00:15","book-chapter","10.1016/b978-0-443-28993-4.00233-x","",,,,473,479,0,0.00,0,3,1,"","https://api.elsevier.com/content/article/PII:B978044328993400233X",""
0,"Salami Abdul Mohammed","Fleet Analytics and Operational Error Detection in U.S. Car Rental Operations",2026,"Journal of Management Research and Review","EP-Journals","https://doi.org/10.65150/ep-jmrr/v2e5/2026-10","",69,"2026-05-27 21:00:15","journal-article","10.65150/ep-jmrr/v2e5/2026-10","3051-357X",,2,5,,,0,0.00,0,1,1,"This paper examines the relationship between fleet analytics adoption as the independent variable and operational error detection outcomes as the dependent variable in United States car rental operations. Despite substantial investment by major car rental operators in artificial intelligence-driven analytics platforms, the managerial capability required to oversee, interpret, and govern automated outputs is not being developed systematically. Drawing on Human Capital Theory and the Technology-Organization-Environment framework, the paper conducts a systematic narrative literature review of peer-reviewed research in fleet management, operations management, machine learning, and car rental revenue management. Five fleet analytics domains generating operational error detection demands are mapped: dynamic pricing and revenue management, fleet repositioning analytics, predictive maintenance, demand forecasting, and customer segmentation. Barriers to effective analytical oversight are identified across the three framework dimensions and are found to be concentrated in the organizational and environmental dimensions rather than the technological one. Fleet analytics platforms are deployed at major operators; the managerial capability to govern them is not keeping pace with deployment. High staff turnover, data fragmentation, absent industry mandates, algorithm interpretability constraints, and margin pressure collectively prevent operators from realizing the full value of their analytics investments. The paper proposes a three-level reskilling framework covering operational analytics literacy, human-AI collaboration skills, and algorithmic governance capability, calibrated to operators at different organizational scales. Industry associations are identified as having the institutional capacity to address the coordination failure that prevents individual operators from investing adequately in analytics oversight capability.","",""
