Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Akas Bagus Setiawan, Eka Yuniar, Mas'ud Hermansyah, Mujiono Mujiono, David Juli Ariyadi","Decision Support System for Selecting the Best Rental House with Weight Product in Sidokare District, Sidoarjo Regency",2026,G-Tech: Jurnal Teknologi Terapan,"Fakultas Sains dan Teknologi, Unira Malang",https://doi.org/10.70609/g-tech.v10i1.8865,,26,2026-05-27 21:00:15,journal-article,10.70609/g-tech.v10i1.8865,2623-064X,,10,1,536,548,0,0.00,0,5,1,"The demand for rental housing in high-mobility areas such as Sidokare District, Sidoarjo Regency, continues to increase along with the region's economic development. However, prospective tenants often face difficulties in selecting the right rental house due to unstructured information and subjective decision-making processes. This study aims to develop a web-based Decision Support System (DSS) capable of providing objective and measurable rental housing recommendations. The method used is the Weighted Product (WP), a multicriteria decision-making technique that normalizes weights through multiplication operations. This system evaluates five rental housing alternatives based on eight main criteria, including price, location, facilities, security, and comfort. The results show that Sukun Rental House is the best alternative with the highest preference value of 0.0769. The practical implication of this study is the availability of an efficient digital tool for residents and students in Sidokare to compare various housing options transparently and quickly. This system successfully minimizes subjectivity in housing selection and helps users find the housing that best suits their financial priorities and functional needs.",https://ejournal.uniramalang.ac.id/g-tech/article/download/8865/5564,
0,"Sri Indrayani, Sintha Istikomah",Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design,2026,bit-Tech,Komunitas Dosen Indonesia,https://doi.org/10.32877/bt.v8i3.3722,,55,2026-05-27 21:00:15,journal-article,10.32877/bt.v8i3.3722,2622-2728,,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.",https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993,
0,,A Web-Based Smart Rental Management System Using React and Secure Payment Integration,2026,International Journal of Innovative Research in Technology,Amplionix LLP,https://doi.org/10.64643/ijirtv12i10-194747-459,,136,2026-05-27 21:00:15,journal-article,10.64643/ijirtv12i10-194747-459,2349-6002,,12,10,,,0,0.00,0,0,1,,,
0,Mandar Sharad Salunkhe,Property Rental &amp; Management System,2026,International Journal for Research in Applied Science and Engineering Technology,International Journal for Research in Applied Science and Engineering Technology (IJRASET),https://doi.org/10.22214/ijraset.2026.78551,,158,2026-05-27 21:00:15,journal-article,10.22214/ijraset.2026.78551,2321-9653,,14,3,3596,3602,0,0.00,0,1,1,"This paper discusses the design, development, and implementation of a web-based Property Rental & Management System developed to simplify the process of managing rental properties. The system digitizes the complete workflow of property management, including property listing, tenant registration, rent payment tracking, and maintenance request handling. It provides a centralized platform where property owners, tenants, and administrators can interact efficiently. The system is developed using modern web technologies such as HTML5, CSS, and JavaScript for the frontend, along with backend support using Node.js/PHP and a MySQL database for data storage and management. The platform ensures that all property and tenant data is stored securely and can be accessed in real-time. The responsive web interface allows users to access the system from different devices such as desktops and mobile phones. After implementation, the system significantly reduces manual work, improves accuracy in rent tracking, and enhances communication between users. It also provides better organization of records and faster access to information. The results show improved efficiency, reduced paperwork, and better transparency in property management operations. This study highlights that digital property management systems are effective and beneficial for modern real estate management",,
0,Vaduni Niranjan,A Secure Three-Tier Web Framework for Verified Student Accommodation and Rental Management,2026,International Journal for Research in Applied Science and Engineering Technology,International Journal for Research in Applied Science and Engineering Technology (IJRASET),https://doi.org/10.22214/ijraset.2026.79797,,354,2026-05-27 21:00:15,journal-article,10.22214/ijraset.2026.79797,2321-9653,,14,4,3266,3273,0,0.00,0,1,1,"Finding convenient paying guest (PG) and student accommodation is a very big problem facing students who in migrating to new city seek higher education. Lack or availability of centralised, validated and student friendly accommodation portals can result into time consuming search, inaccurate information, and poor housing decision. The present paper proposes a specialized web-based accommodation portal, named as PGConnect, which will facilitate the process of searching and finding accommodation of the PG housing, with particular attention to the Delhi-NCR educational hub. The system is built on a friendly interface that is created using React, and the backend is based on the Laravel framework to handle business logic, authentication, and RESTful API security. A relational database is a PostgreSQL, which guarantees the data integrity and effective management of queries. The framework has a three-level architecture that helps increase scalability and maintainability. Experimental findings show that, PGConnect is very effective to decrease the time spent on the search and provide a high level of user satisfaction in comparison to manual approaches, which can be regarded as a valid and visible solution to the specific demands of the student population in metropolitan areas",,
0,"Jianyue Wang, Ki Ling Cheung, Albert Y. Ha",Apparel retail and rental business models and their sustainability implications,2026,Production and Operations Management,SAGE Publications,https://doi.org/10.1177/10591478261444827,,480,2026-05-27 21:00:15,journal-article,10.1177/10591478261444827,1059-1478,,,,,,0,0.00,0,3,1,"In this paper, we explore the question of whether an apparel manufacturer should incorporate a renting channel into its existing business model, which currently only includes a retailing channel. We also examine how such a change would affect product quality and sustainability. We develop several game-theoretical models where an apparel manufacturer, currently selling apparel products directly to consumers, may choose to rent them out either directly or indirectly through a third-party online platform. When both retailing and renting channels are available, the manufacturer will only sell the product if rental utility or brand quality is low. Otherwise, it will sell and rent out the product simultaneously. Our findings suggest that adding a renting option to a retailing-only business model could increase the manufacturer’s profit and product quality, despite potential demand cannibalization. However, the environmental impact of rental versus pure retail depends on the level of rental utility. The increase in profit and quality from incorporating renting is more significant when brand quality is higher. Additionally, this change could enhance consumer surplus and social welfare. We also analyze the effects of three common public policies on sustainability when a renting channel is added, finding that two of the policies can promote product quality. We extend our model by considering consumer heterogeneity in preferences for green consumption or discounted utility from renting, and find that our results remain robust. When examining demand cannibalization over time, we observe that product quality decisions may be influenced by the extent of cannibalization over time, while the environmental impact could worsen.",https://journals.sagepub.com/doi/pdf/10.1177/10591478261444827,
0,"Agung Wahyu Ramadhan, Jecky Tri Ananda, Muhammad Firdaus, Muhammad Alda",IMPLEMENTASI FLEET MANAGEMENT SYSTEM BERBASIS MOBILE LAYANAN RENTAL BUS PARIWSATA MENGGUNAKAN METODE R&amp;D (STUDI KASUS : PT.NUSAWISATA TRANS),2026,Jurnal Informatika dan Teknik Elektro Terapan,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,https://doi.org/10.23960/jitet.v14i1.9046,,633,2026-05-27 21:00:15,journal-article,10.23960/jitet.v14i1.9046,2830-7062,,14,1,,,0,0.00,0,4,1,"Fleet management is an important component in bus rental business operations. Common problems include limited monitoring of bus availability, poorly organized vehicle usage records, and manual management of driver data and travel schedules. These conditions result in low operational efficiency and poor service quality for customers. This study aims to implement a mobile-based Fleet Management System in bus rental businesses to support integrated fleet management. The method used is Research and Development (R&D), which includes the stages of needs analysis, system design, application development, testing, and evaluation. The results of the study show that the developed system is able to assist managers in monitoring fleet status, managing bus usage schedules, and organizing driver and trip data more effectively. This system is expected to improve operational efficiency and support the decision-making process in bus rental businesses.",https://journal.eng.unila.ac.id/index.php/jitet/article/download/9046/3923,
0,"Anggiah Salim, Sakina Sudin, Nurafni Muhammad, Fitriani Duwila, Frenti Polulu",Development of a Web-Based Motorcycle Rental Application with Real-Time Status and Digital Financial Recording,2026,Ambidextrous Journal of Innovation Efficiency and Technology in Organization,PT Takaza Innovatix Labs,https://doi.org/10.61536/ambidextrous.v3i01.422,,929,2026-05-27 21:00:15,journal-article,10.61536/ambidextrous.v3i01.422,3031-7002,,3,1,134,146,0,0.00,0,5,1,"Motorcycle rental businesses at the Micro, Small, and Medium Enterprises (MSME) level are still largely managed manually, which may lead to transaction recording errors and delays in vehicle status information. This study aims to design and implement a web-based motorcycle rental information system developed using HTML, CSS, JavaScript, and Bootstrap as the user interface. The system is managed through a GitHub repository, utilizes Supabase as a real-time database, and is deployed on the Vercel platform to provide public domain access. The research method follows system development stages consisting of requirement analysis, system design, implementation, and testing. The system is able to display real-time motorcycle availability, support admin-managed rental transactions, and generate daily income reports. To protect the confidentiality of MSME financial data, the income report is limited to a three-day period. The results indicate that the system operates properly and is feasible to be used as an operational support tool for web-based motorcycle rental services.",https://journal.takaza.id/index.php/ambidextrous/article/download/422/225,
1,"Kuanchin Chen, Josip Marić, Ya-Han Hu",Servitization in the service industry – AI-empowered opportunities for innovation in the bike rental business,2025,Journal of Enterprise Information Management,Emerald,https://doi.org/10.1108/jeim-04-2024-0207,,517,2026-05-27 21:00:15,journal-article,10.1108/jeim-04-2024-0207,1741-0398,,,,,,1,1.00,0,3,1,"Purpose: This study investigates the application of artificial intelligence (AI) in enhancing the servitization of the YouBike rental service, particularly addressing the challenges of service delivery risks and fostering service innovation. The research is centered around using AI to manage and predict bike rental shortages effectively and to innovate service delivery by adapting to customer needs and environmental conditions. This aims to transform the YouBike service from a product-centric to a service-centric approach, leveraging digital servitization. Design/methodology/approach: The methodology involves analyzing the proximity of rental stations to significant locations, historical demand, environmental factors and regional dynamics to inform the development of AI models. Various machine learning (ML) models were evaluated to identify an optimized model capable of predicting bike rental shortages at different time intervals and pinpointing key factors influencing these shortages. The study uses comparative analysis to determine the most effective AI strategies for operational and service innovation challenges. Findings: The research demonstrates that the optimized ML model can effectively predict bike rental shortages and identify critical variables that influence these events thereby mitigating service risks and optimizing resource allocation. This enables digital service innovation through both basic and add-on servitization in a way that addresses both operational and environmental risks. Our findings suggest that AI significantly enhances resource management and supports digital service innovation DSI through strategies like service bundling and geographic customization. Originality/value: The originality of this research lies in its exploration of AI’s role in both mitigating risks and fostering service innovation to enable the two categories of servitization for the service industry. Additionally, mitigation of operational and environmental risks has received only beginning attention, with most works being theoretical and descriptive. The servitization literature has called for further empirical evidence in this area. Our work not only fills this gap but also extends the discourse on digital servitization by integrating AI with operational strategies, providing a new perspective on enhancing service delivery and creating innovative service solutions in the bike rental industry.",https://www.emerald.com/insight/content/doi/10.1108/JEIM-04-2024-0207/full/html,
0,,House Rental Management System,2025,Iconic Research and Engineering Journals,Iconic Digital Lab,https://doi.org/10.64388/irev9i6-1712726,,1,2026-05-27 21:00:15,journal-article,10.64388/irev9i6-1712726,2456-8880,,9,6,,,0,0.00,0,0,1,,,
