Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Sri Indrayani, Sintha Istikomah",Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design,2026,bit-Tech,Komunitas Dosen Indonesia,https://doi.org/10.32877/bt.v8i3.3722,,6,2026-05-27 21:10:36,journal-article,10.32877/bt.v8i3.3722,2622-2728,,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.",https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993,
0,"Takeru Sugasawa, Kei Harano",Disentangling transaction-stage and management-stage discrimination in the rental housing market: evidence from a correspondence experiment in Tokyo,2026,Journal of Housing Economics,Elsevier BV,https://doi.org/10.1016/j.jhe.2026.102134,,155,2026-05-27 21:10:36,journal-article,10.1016/j.jhe.2026.102134,1051-1377,,72,,102134,102134,0,0.00,0,2,1,,https://api.elsevier.com/content/article/PII:S105113772600015X,
0,"Ketut Arya Wisnu Wardana, Tri Widodo",Web-Based Boarding House Management Information System with Payment Gateway Integration,2026,International Journal of Science and Environment (IJSE),International Journal of Educational Research & Social Sciences (IJERSC),https://doi.org/10.51601/ijse.v6i1.302,,591,2026-05-27 21:10:36,journal-article,10.51601/ijse.v6i1.302,2809-0551,,6,1,118,126,0,0.00,0,2,1,"Manual management at GreenKost in Sleman faces challenges in unstructured recording of room, tenant, and financial transaction data, along with slow and error-prone administrative processes. This study aims to develop a web-based boarding house management information system with Model-View-Controller (MVC) architecture using Laravel framework to optimize business processes and improve tenant services. The research methodology includes direct observation on February 17, 2025, and interviews with the boarding house owner on February 25, 2025, to identify system requirements. The system was developed using Laravel 12.x with MySQL database and Eloquent ORM, integrated with a payment gateway to support QRIS and E-Wallet payments. Main features include user management, room management with real-time status, online reservation and booking, integrated payments, admin dashboard reports, announcement management, and repair request services. Testing using black-box testing method shows all features function as expected under both normal and abnormal conditions. The research results demonstrate that an integrated digital system can automate payment verification, improve administrative efficiency, and provide ease of information access and real-time transactions for tenants.",https://www.ijsenet.com/index.php/IJSE/article/download/302/308,
0,"Noor Chalim, Rhoedy Setiawan, Yudie Irawan",Pengembangan Sistem Informasi Penyewaan Gedung Graha Mustika Berbasis Android dan Web Terintegrasi Dengan Payment Gateway,2025,JoMMiT : Jurnal Multi Media dan IT,Politeknik Negeri Media Kreatif,https://doi.org/10.46961/jommit.v8i2.1467,,901,2026-05-27 21:10:36,journal-article,10.46961/jommit.v8i2.1467,2548-9550,,8,2,123,129,0,0.00,0,3,1,"This research focuses on developing an information system for the rental management of Graha Mustika Hall, located in Getaspejaten Village, Jati District, Kudus Regency. The venue is frequently utilized for various events; however, the existing rental process, including schedule management and payment confirmations, is handled manually. This method often results in recording errors and lacks transparency. The study aims to create a system accessible via Android and web platforms to simplify the rental process for both hall managers and tenants. Key features include real-time venue availability checks, rental request management, and payment gateway integration to streamline transactions. The system stores essential data such as rental rates, transaction details, tenant information, schedules, and equipment availability. The development process adopts the Extreme Programming methodology and utilizes UML for design. The system is expected to improve accuracy, transparency, and efficiency in managing Graha Mustika Hall, while also minimizing errors typically found in manual recording processes.",https://ojs2.polimedia.ac.id/index.php/jommit/article/download/1467/680,
0,"Ahmad Hudawi, Nor Jaykiah, Ummi Lailatul Firdausi",Designing a Web-Based Digital Financial System for Islamic Boarding Schools with Payment Gateway Integration,2025,Journal of Electrical Engineering and Computer (JEECOM),Universitas Nurul Jadid,https://doi.org/10.33650/jeecom.v7i2.13019,,996,2026-05-27 21:10:36,journal-article,10.33650/jeecom.v7i2.13019,2715-6427,,7,2,514,526,0,0.00,0,3,1,"Financial management in Islamic boarding schools still faces various fundamental problems, particularly due to dependence on manual recording and simple applications. This management pattern often causes delays in report preparation, increases the potential for recording errors, and reduces transparency. This condition impacts the trust of students' guardians and stakeholders. In addition, the diversity of student guardians, including those from outside the region, further complicates the payment process due to limited access to remote transaction services. This situation highlights the urgency of developing a web-based digital financial system that can effectively integrate modern payment technology and adapt to the needs of Islamic boarding schools. This study aims to design and implement a digital financial system for Islamic boarding schools by integrating the Midtrans payment gateway to improve financial management's efficiency, transparency, and accountability. The method used is a model consisting of three main stages: data collection through observation and interviews with financial managers, system design using use case diagrams, activity diagrams, and class diagrams, and system testing with internal and external black box testing approaches. The system implementation utilizes the Laravel framework, MySQL database, and web-based interface with Login, Dashboard, student data, payment, and financial reporting features. The results show that the developed System can comprehensively address the financial management needs of Islamic boarding schools. External testing using a Likert scale questionnaire obtained a rating of Good-Very Good with an achievement of up to 86%, thus confirming the feasibility of the system implementation. This System has been proven to facilitate online payments, accelerate the report preparation process, and improve access to information for student guardians. Thus, a web-based digital financial system integrated with a payment gateway can be a strategic solution for enhancing the transparency and accountability of pesantren finances. Further research is recommended to strengthen data security, expand coverage to multiple pesantren, and conduct continuous testing on a broader scale",https://ejournal.unuja.ac.id/index.php/jeecom/article/viewFile/13019/pdf,
0,Saikrishna Garlapati,Optimizing ACH Transfers through Workflow Automation: Achieving Seamless and Secure Transaction Processing,2024,International Journal of Innovative Research in Engineering &amp; Multidisciplinary Physical Sciences,International Journal of Innovative Research in Engineering and Multidisciplinary Physical Sciences,https://doi.org/10.37082/ijirmps.v12.i1.232597,,146,2026-05-27 21:10:36,journal-article,10.37082/ijirmps.v12.i1.232597,2349-7300,,12,1,,,0,0.00,0,1,2,"Automated Clearing House (ACH) transfers are widely used and required in the financial industry because of its pivotal role in actualizing innumerable amounts of credit and debit transactions on a daily basis. However, despite the laudable functions of ACH, the traditional processes involved in its operation come with sundry challenges bordering on latency, error possibility, security concerns, as well as lack of adequate transparency in transfers. This paper aims to underscore the significance of employing workflow automation ideals to enhance ACH transfers, using existing technologies including robotic process automation (RPA), artificial intelligence (AI), and blockchain to offer better accuracy, speed, regulatory compliance, and fraud prevention among others. To achieve this, a thorough and exhaustive investigation is conducted on ACH architecture, pinpointing its current challenges, achievable automation processes, demonstration of existing cases, and implementation methods. The paper also discusses the implications of the proposed paradigm shift on security and regulatory compliance – highlighting how higher degrees of transparency can enhance adequate adherence to laws and rules, and ultimately alter how financial transactions are performed.",https://www.ijirmps.org/papers/2024/1/232597.pdf,
0,"Iin Istiyah, Nurul Wulandari Putri",Implementation of User Transaction Services Via E-Money Id-Card as a Means of Payment Transactions (Case Study of the Muhammadiyah Zaenab Masykur Islamic boarding school),2024,"International Journal of Economics, Business Management and Accounting (IJEBMA)",PT Multitech Bintang Asia,https://doi.org/10.59890/ijebma.v6i2.2307,,569,2026-05-27 21:10:36,journal-article,10.59890/ijebma.v6i2.2307,3032-6028,,6,2,255,262,0,0.00,0,2,2,"Advances in the financial and banking system in the economy have been able to shift payment methods from using cash to non-cash forms. E-money is currently popular among all groups, including Islamic boarding schools. The aim of this research is to find out how to implement the use of e-money ID-cards at the Zaenab Masykur Islamic boarding school, Adiwerna. This research uses qualitative methods with data sources coming from interviews and observations. The results of this research show that the use of a manual payment system is felt to be less effective so that e-money becomes a solution to simplify transactions, record and report more quickly and practically. The e-money ID-card is included in the open loop category because it functions as a means of payment, it is a chip based registered type because the user's identity and the value of the money in it are recorded on the holder’s card and registerd. Understanding of technology and concerns about system security as well as limitations in the use of T-cards which can only be used in Islamic boarding schools are challenges in using e-money at Islamic boarding school Zaenab Masykur   ",https://journal.multitechpublisher.com/index.php/ijebma/article/download/2307/2382,
0,"Nabil Nabil, Sutan Mohammad Arif, Zikriah Zikriah",Video Conference Rental Business Application Design At Pt. Alfa Copies Android-Based Virtual Technology,2024,Journal of Renewable Engineering,PT. Anagata Sembagi Education,https://doi.org/10.62872/tpe2jq45,,614,2026-05-27 21:10:36,journal-article,10.62872/tpe2jq45,3046-7624,,1,3,1,10,0,0.00,0,3,2,"The purpose of this research is to determine the process of managing device rental data, tenant profiles, tenant transactions, device rental dates, payments, tenant data reports, product and price reports, sales transaction reports, bill payment reports at PT. Alfa Cipta Virtual Technology. The method used to process this activity is a qualitative method (System Life Cycle (SDLC)), namely to design, build, maintain and develop a system. After the author designs, builds and develops a device rental system, finally the author can draw the conclusion that management The device rental business becomes more dynamic and simpler so that it can improve sales and admin sales performance. Making sales transaction reports and tenant data reports is much faster because management can be accessed via an application on a smartphone.",https://nawalaeducation.com/index.php/JORE/article/download/455/527,
0,Agus Heri Yunial,Waterfall Method In Designing A Web-Based Waste Payment Information System (Case Study: Calincing Bukit Valley Housing Rt04/Rw008),2024,Jurnal Inotera,Politeknik Aceh Selatan,https://doi.org/10.31572/inotera.vol9.iss1.2024.id336,,706,2026-05-27 21:10:36,journal-article,10.31572/inotera.vol9.iss1.2024.id336,2581-1274,,9,1,226,232,0,0.00,0,1,2,"Valley Bukit Calincing Housing Exchange RT. 04 RW. 08 Bogor City is a housing complex that requires every resident to pay monthly waste fees. Payment of waste fees is payment of waste fees made by the treasurer who visits residents' homes to collect by giving a payment card to each resident and recording it again in the ledger. For reports, we still use Microsoft Excel. Because payment recording still uses Microsoft Excel, files on the laptop or PC can be lost or even accidentally deleted. Meanwhile, if it is recorded in a book, the book could be damaged/lost. The method that will be applied for this research is using Waterfall which has sequential stages starting from analysis, design, coding, testing and supporting stages, but in this research it only reaches the testing stage. Meanwhile, for the system development method using the OOAD method, a web-based application was created which is the right choice to simplify the treasurer's work in managing and managing waste fee payments. With this system, it can make it easier for residents to pay waste fees on time and reduce residents who like to pay past due dates because they are always reminded via email notifications sent by the treasurer so that the treasurer does not need to come to residents' homes to collect the waste fees. And with this waste fee payment information system, it makes it easier to manage the treasurer's waste fee payment reports.    ",https://inotera.poltas.ac.id/index.php/inotera/article/download/336/258,
0,"Avegail L Monteverde, Joshua James S Maderazo, Keyleen Christine M Cruz, NIcko A Magnaye",Web-Based Rental House Smart Finder using Rapid Application Development basis for Evaluation of ISO 205010,2023,International Journal of Metaverse,E-palli,https://doi.org/10.54536/ijm.v1i1.1464,,123,2026-05-27 21:10:36,journal-article,10.54536/ijm.v1i1.1464,2837-2417,,1,1,1,4,0,0.00,0,4,3,"Businesses including the promotion of rental properties, utilized the advantage of using technologies to attract more clients. Most of them use a website to easily advertised their properties online. Hence, there were lots of existing system developed to find hotels and apartments online, without considering other affordable rental houses, such as boarding houses and bed spacers. Aside from that, people in Bansud and Bongabong Oriental Mindoro, can’t easily find a rental house with the reason of lack of details regarding the location of each rental house and couldn’t find an affordable rental house immediately. From that, A Web-Based Rental House Smart Finder using Rapid Application Development basis for Evaluation of ISO 205010 was developed to assist the clients in finding affordable variations of rental houses such as boarding house, dormitories, hotels and others. The system can also provide necessary information of specific rental house properties and even gave an alternative option by providing near rental property listings using kilometer distance. The system can also accept reservation request from the clients. On the other hand, the Rapid Application Development was used in building the project for quick continuous development and testing during the project’s software development lifecycle. The RAD strategy allows to investigate a working model as in front of schedule as could be normal considering the present situation if the frameworks meet the necessities required, and propose imperative changes. The ISO/IEC 25010 software quality standards were applied in the evaluation to determine the functional suitability, performance efficiency, usability, reliability, security, maintainability and portability of the system. The overall mean of the ISO/IEC 25010 evaluation result was 3.67, which was regarded as very effective, indicating that the evaluators were satisfied by giving positive feedback. Some of the evaluators suggested to have a mobile application for accessibility.",https://journals.e-palli.com/home/index.php/ijm/article/download/1464/624,
