Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Sri Indrayani, Sintha Istikomah",Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design,2026,bit-Tech,Komunitas Dosen Indonesia,https://doi.org/10.32877/bt.v8i3.3722,,6,2026-05-27 21:10:36,journal-article,10.32877/bt.v8i3.3722,2622-2728,,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.",https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993,
0,"Takeru Sugasawa, Kei Harano",Disentangling transaction-stage and management-stage discrimination in the rental housing market: evidence from a correspondence experiment in Tokyo,2026,Journal of Housing Economics,Elsevier BV,https://doi.org/10.1016/j.jhe.2026.102134,,155,2026-05-27 21:10:36,journal-article,10.1016/j.jhe.2026.102134,1051-1377,,72,,102134,102134,0,0.00,0,2,1,,https://api.elsevier.com/content/article/PII:S105113772600015X,
0,"Muhammad Rizal Adinoval, Rizkysari Mei Maharani, Ahmad Jazuli",Development of a Web Based Badminton Court Rental Information System with the Laravel Framework,2026,International Journal of Science and Environment (IJSE),International Journal of Educational Research & Social Sciences (IJERSC),https://doi.org/10.51601/ijse.v6i1.319,,455,2026-05-27 21:10:36,journal-article,10.51601/ijse.v6i1.319,2809-0551,,6,1,200,206,0,0.00,0,3,1,"The rental process of badminton courts in Sengonbugel, Mayong, Jepara is still predominantly conducted manually, such as by visiting the location directly or through communication media like telephone and WhatsApp. This manual process often leads to various problems, including limited access to court schedule information, the risk of double booking due to the absence of an integrated recording system, and inefficiencies in administrative procedures for both users and court managers. This study aims to design and develop a web-based badminton court rental information system that facilitates online reservation, provides real-time court availability information, and assists managers in managing rental data, schedules, and transactions in a more structured manner. The research method consists of system requirements analysis, system design, and system implementation. The system is developed using the Laravel framework with MySQL as the database management system. The features provided include court booking, schedule and rental duration selection, payment proof upload, and an admin dashboard for managing courts, bookings, and schedules. The results show that the web-based badminton court rental information system is able to improve the efficiency of the rental process, reduce recording errors and the occurrence of double booking, and enhance the quality of services for both users and court managers.",https://ijsenet.com/index.php/IJSE/article/download/319/306,
0,"Muhammad Syahrul Haniawan, Hardika Khusnuliawati, Astri Charolina",Perancangan dan Implementasi Sistem Otomatisasi Pemesanan dan Pembayaran untuk Layanan Rental Berbasis Web,2026,Jurnal Ilmiah Teknik Informatika dan Komunikasi,Politeknik Pratama Purwokerto,https://doi.org/10.55606/juitik.v6i1.1987,,541,2026-05-27 21:10:36,journal-article,10.55606/juitik.v6i1.1987,2827-7945,,6,1,348,360,0,0.00,0,3,1,"The costume rental management process often faces challenges in operational inefficiency and limitations in providing an optimal user experience. This research aims to develop and evaluate a web-based costume rental information system for the Wibucosrent platform. Through system development and user experience evaluation, this study seeks to provide a more efficient, integrated, and user-friendly solution for digital costume rental services. The research adopts a case study approach, focusing on system testing in a real-world environment. Data were collected through interviews with administrators and users, as well as system log analysis after implementation. The reduction in transaction processing time is based on a comparison of pre- and post- implementation data, where the average transaction time decreased from 10 minutes to 6 minutes. Additionally, a user satisfaction survey showed an increase in the average score from 3.8 to 4.5 (on a scale of 5) regarding ease of use and service speed. The conclusion of this study is that automation in a costume rental website not only enhances operational efficiency but also improves the quality of user interactions. Thus, implementing this technology has the potential to be a solution for similar industries to adapt to the demands of the digital market.",https://journal.sinov.id/index.php/juitik/article/download/1987/1455,
0,"I Putu Dody Suarnatha, Putu Gede Surya Cipta Nugraha",Design and Development of a Web-Based Information System for Traditional Balinese Decoration Rental,2026,Jurnal ilmiah Sistem Informasi dan Ilmu Komputer,Politeknik Pratama Purwokerto,https://doi.org/10.55606/juisik.v6i1.2282,,572,2026-05-27 21:10:36,journal-article,10.55606/juisik.v6i1.2282,2827-7953,,6,1,630,646,0,0.00,0,2,1,"In the current digital era, the use of efficient information systems is essential to improve service quality, including in the decoration rental business. Jr. Dekorasi, a provider of traditional Balinese decorations, still uses manual methods for managing information and transactions, which often leads to delays and errors. This study aims to design and develop a web-based decoration rental information system using native PHP to enhance operational effectiveness and efficiency. The system is developed using the Waterfall method, which includes the stages of requirements analysis, design, implementation, and testing. This system provides features such as decoration information, an online rental form, and data management by the administrator. MySQL is used as the database, and the interface is designed to be user-friendly across various devices. The implementation results show that the system is capable of accelerating service processes, facilitating rental transactions, and supporting centralized data management. This system is expected to become a digital solution that helps Jr. Dekorasi compete in the technological era.",https://journal.sinov.id/index.php/juisik/article/download/2282/1620,
0,"Ketut Arya Wisnu Wardana, Tri Widodo",Web-Based Boarding House Management Information System with Payment Gateway Integration,2026,International Journal of Science and Environment (IJSE),International Journal of Educational Research & Social Sciences (IJERSC),https://doi.org/10.51601/ijse.v6i1.302,,591,2026-05-27 21:10:36,journal-article,10.51601/ijse.v6i1.302,2809-0551,,6,1,118,126,0,0.00,0,2,1,"Manual management at GreenKost in Sleman faces challenges in unstructured recording of room, tenant, and financial transaction data, along with slow and error-prone administrative processes. This study aims to develop a web-based boarding house management information system with Model-View-Controller (MVC) architecture using Laravel framework to optimize business processes and improve tenant services. The research methodology includes direct observation on February 17, 2025, and interviews with the boarding house owner on February 25, 2025, to identify system requirements. The system was developed using Laravel 12.x with MySQL database and Eloquent ORM, integrated with a payment gateway to support QRIS and E-Wallet payments. Main features include user management, room management with real-time status, online reservation and booking, integrated payments, admin dashboard reports, announcement management, and repair request services. Testing using black-box testing method shows all features function as expected under both normal and abnormal conditions. The research results demonstrate that an integrated digital system can automate payment verification, improve administrative efficiency, and provide ease of information access and real-time transactions for tenants.",https://www.ijsenet.com/index.php/IJSE/article/download/302/308,
1,"Noor Chalim, Rhoedy Setiawan, Yudie Irawan, Eko Darmanto",DEVELOPMENT OF ANDROID AND WEB-BASED RENTAL INFORMATION SYSTEM FOR GRAHA MUSTIKA HALL INTEGRATED WITH PAYMENT GATEWAY,2025,Jurnal Disprotek,Centre for Research and Community Development - Islamic University of Nahdlatul Ulama Jepara,https://doi.org/10.34001/jdpt.v16i1.7142,,12,2026-05-27 21:10:36,journal-article,10.34001/jdpt.v16i1.7142,2548-4168,,16,1,11,20,1,1.00,0,4,1,"Graha Mustika Building in Getaspejaten Village, Jati District, Kudus Regency, is usually used for various events including weddings and meetings. However, the rental process of this building is still done manually, starting from checking the schedule to confirming payment, previous research shows that the existing web-based rental system is not fully effective due to several problems, such as an unresponsive display, no features to add equipment, no transaction process security, no vendor registration feature, unclear schedule information. This causes problems such as difficulty finding fast and inaccurate information, misuse of schedules, vendors must come in person if they want to join, This study aims to develop an Android-based rental information system and a website that is integrated with a payment gateway to make it easier for prospective tenants, vendors and building managers to manage the rental process. This system provides features for checking building availability in real-time, submitting rentals, and processing payments with a payment gateway. The data stored in the system includes rental prices, transactions, tenants, schedules, and equipment. The methods used in system design are Extreme Programming and Unified Modeling Language. Through the system created, it is expected to improve the accuracy of recording, transparency, and efficiency in the management of the Graha Mustika Building, thereby reducing the risk of errors that often occur in manual systems.Gedung Graha Mustika di Desa Getaspejaten, Kecamatan Jati, Kabupaten Kudus, biasa digunakan dalam berbagai acara antara lain pernikahan dan pertemuan. Namun, proses penyewaan gedung ini masih dilakukan secara manual, mulai dari pengecekan jadwal hingga konfirmasi pembayaran, penelitian sebelumnya menunjukkan bahwa sistem penyewaan berbasis web yang ada tidak sepenuhnya efektif karena beberapa masalah, seperti tampilan yang tidak responsif, tidak ada fitur untuk menambah perlengkapan, tidak adanya keamanan proses transaksi, belum ada fitur daftar sebagai vendor, informasi jadwal yang tidak jelas. Hal ini menyebabkan masalah seperti kesulitan mencari informasi yang cepat, dan kurang akurat, penyalahgunaan jadwal, vendor harus datang langsung kalau mau bergabung, Penelitian ini bertujuan untuk mengembangkan sistem informasi penyewaan berbasis Android dan website yang terintegrasi dengan payment gateway untuk mempermudah calon penyewa, vendor dan pengelola gedung dalam mengelola proses penyewaan. Sistem ini menyediakan fitur pengecekan ketersediaan gedung secara real-time, pengajuan penyewaan, dan pemrosesan pembayaran dengan payment gateway. Data yang disimpan dalam sistem meliputi harga sewa, transaksi, penyewa, jadwal, dan perlengkapan. Metode yang digunakan dalam perancangan sistem adalah Extreme Programming dan Unified Modeling Language. Melalui adanya sistem yang dibuat, diharapkan dapat meningkatkan akurasi pencatatan, transparansi, serta efisiensi dalam pengelolaan Gedung Graha Mustika, sehingga mengurangi risiko kesalahan yang kerap terjadi pada sistem manual.",https://ejournal.unisnu.ac.id/JDPT/article/viewFile/7142/pdf,
1,"Cahyawati Diah Kusumarini, Rio Farhan Avito",Creation of an Android-Based AM Futsal Field Rental Application Using Flutter and JS Node with Midtrans Integration as a Payment Gateway,2025,GLOBAL: Jurnal Lentera BITEP,PT Lentera Ilmu Nusantara,https://doi.org/10.59422/global.v3i01.745,,24,2026-05-27 21:10:36,journal-article,10.59422/global.v3i01.745,3025-5503,,3,1,17,25,1,1.00,1,2,1,"In the modern era, technology has facilitated various aspects of life, including in the sport of futsal, which often requires an optimal training ground. Currently, Futsal AM South Tangerang still uses manual methods for field bookings, resulting in inaccurate reports and limited access. To overcome this problem, this research aims to develop an Android-based futsal field rental application using Flutter and Node.js with Midtrans integration as a payment gateway. The research method used is SDLC (Software Development Life Cycle) with Waterfall model, including planning, analysis, design, implementation, and testing. The results show that the developed application improves the efficiency of the rental process, simplifies data management, and provides a better user experience through integrated features such as login, registration, and payment. Black box testing ensures that the application runs well and is reliable in handling various usage scenarios. This application is expected to simplify the futsal field rental process and overcome the obstacles faced by users and admins.",https://jurnal.lenteranusa.id/index.php/global/article/download/745/472,
0,"Sirajudin Sirajudin, Fadil Indra Sanjaya, Anita Fira Waluyo",Golden Goal Futsal Court Rental Mobile Application Using the First Come First Serve (FCFS) Algorithm and Payment Gateway Integration,2025,JISA(Jurnal Informatika dan Sains),Universitas Trilogi,https://doi.org/10.31326/jisa.v8i2.2545,,32,2026-05-27 21:10:36,journal-article,10.31326/jisa.v8i2.2545,2614-8404,,8,2,203,211,0,0.00,0,3,1,"The futsal pitch rental process at Golden Goal is still done manually through direct communication or text messages, which often results in various problems such as unstructured booking queues, schedule conflicts due to the lack of a clear queuing system, and late payments. These problems result in low operational efficiency and an increased potential for scheduling errors. This research aims to develop a mobile-based futsal pitch rental application equipped with the implementation of the First Come First Serve (FCFS) algorithm to ensure the booking process is carried out based on the user's arrival time in a fair and orderly manner. The system development method used is the Waterfall model, which includes requirements analysis, design, implementation, testing, and maintenance. The application was developed using the Flutter framework because it has the ability to produce Android and iOS applications with only a single codebase, faster development time, and stable and responsive interface performance. These advantages make Flutter suitable for building a real-time booking system that requires fast interaction and a consistent user experience. Furthermore, the application is integrated with Midtrans services as a payment gateway to facilitate automatic digital payment transactions. Testing results using the black-box method indicate that all key features, including schedule selection, FCFS-based queuing mechanism, payment processing, and rental data management, have run well as needed. The implementation of this system has proven to be able to reduce schedule conflicts, improve the accuracy of the booking process, and increase the efficiency of rental management at Golden Goal. Thus, this application can be an effective and modern solution to address the problem of futsal field rentals that have been handled manually.",https://trilogi.ac.id/journal/ks/index.php/JISA/article/viewFile/2545/1376,
0,Neec Chander Tobias,Smart Mobile Application for Heavy Equipment Rental,2025,Journal of Computer Science Application and Engineering (JOSAPEN),PT. Lentera Ilmu Publisher,https://doi.org/10.70356/josapen.v3i1.49,,154,2026-05-27 21:10:36,journal-article,10.70356/josapen.v3i1.49,3031-2272,,3,1,16,20,0,0.00,0,1,1,"This study explores the development of an Android-based heavy equipment rental application tailored for PT. Gajah Unggul Internasional. It highlights the pivotal role of information systems in the heavy equipment rental sector, focusing on the specific needs of PT. Gajah Unggul Internasional, a provider of various construction and industrial equipment. To address the demand for a streamlined system to manage borrowing, returning, and restocking equipment, the study proposes an Android application built with the Ionic Framework, a robust open-source SDK. The methodology employs a comprehensive five-stage research design: data collection, inception, elaboration, construction, and transition. The results and discussion section offers an in-depth evaluation of the application, presenting critical components such as use case diagrams, activity diagrams, sequence diagrams, class diagrams, and the system interface. Functionality and efficiency are validated through black box testing, confirming the system's reliability in processes such as login, registration, equipment data access, and rental history tracking. In conclusion, the study demonstrates the successful application of the Ionic Framework to enhance heavy equipment rental operations at PT. Gajah Unggul Internasional. The user-friendly application caters to various stakeholders, emphasizing practicality and efficiency. The article provides valuable insights into leveraging technology to optimize business processes within the heavy equipment rental industry.",https://journal.lenterailmu.com/index.php/josapen/article/download/49/55,
