Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"","A Web-Based Smart Rental Management System Using React and Secure Payment Integration",2026,"International Journal of Innovative Research in Technology","Amplionix LLP","https://doi.org/10.64643/ijirtv12i10-194747-459","",2,"2026-05-27 21:10:36","journal-article","10.64643/ijirtv12i10-194747-459","2349-6002",,12,10,,,0,0.00,0,0,1,"","",""
0,"Sri Indrayani, Sintha Istikomah","Integrated Web-Based Platform for Boarding House Rental Services: Information Architecture and Booking Workflow Design",2026,"bit-Tech","Komunitas Dosen Indonesia","https://doi.org/10.32877/bt.v8i3.3722","",6,"2026-05-27 21:10:36","journal-article","10.32877/bt.v8i3.3722","2622-2728",,8,3,3834,3845,0,0.00,0,2,1,"Pati Regency in Central Java has experienced rapid industrial, commercial, and educational growth, attracting workers, students, and job seekers who require temporary accommodation such as boarding houses. Despite this increasing demand, the process of searching and booking boarding houses remains largely manual, relying on word of mouth, roadside banners, or direct visits, which leads to fragmented information, inaccurate room availability data, and inefficient search processes. This study aims to design and evaluate a web-based boarding house rental information system that addresses information asymmetry and fragmented search processes in local rental markets by providing structured property information and an integrated digital booking workflow. The research employs a system development approach consisting of requirements analysis through interviews and field observation, UML-based system modeling, web-based system implementation, and functional evaluation using black-box testing to verify the reliability of core system functions such as property search, availability display, booking submission, and payment confirmation. The resulting platform integrates structured property listings, multi-criteria search filters, interactive digital maps, and an online reservation mechanism that enables prospective tenants to identify, compare, and book boarding houses without physically visiting the property. Testing results indicate that all functional modules operate according to the specified requirements, supporting accurate property information retrieval and a continuous search-to-booking workflow. Beyond system implementation, the study contributes to research on digital property information systems by demonstrating how integrated information architecture and transaction workflows can reduce information fragmentation and improve transparency in temporary housing rental platforms.","https://jurnal.kdi.or.id/index.php/bt/article/download/3722/1993",""
0,"Karute Saiprasad Panchmukhi","Car Rental Web Based Application",2026,"International Journal for Research in Applied Science and Engineering Technology","International Journal for Research in Applied Science and Engineering Technology (IJRASET)","https://doi.org/10.22214/ijraset.2026.77749","",16,"2026-05-27 21:10:36","journal-article","10.22214/ijraset.2026.77749","2321-9653",,14,3,76,79,0,0.00,0,1,1,"The global car rental business is growing quickly, and it needs smart ways to make operations easier, give customers a better experience, and increase earnings. This paper introduces a Car Rental System built with a React frontend and Node backend. A backend built with js, a MongoDB database, and a Python AI voice assistant. The system uses Google Maps to handle location services, offers dynamic pricing to keep rates competitive, and relies on AI to suggest cars tailored to each user. Some of the main features are secure online payments, an AI chatbot that’s available 247, and an admin dashboard that shows analytics and a map view. This system is designed to be easy to use and able to grow with demand, addressing the main problems in car rentals and providing a practical solution for transportation needs today. By leveraging modern database technologies, the platform delivers real-time information, secure data handling, and a seamless user journey. Notable functionalities include dynamic booking confirmations, rental pricing based on vehicle type and duration, and secure user login mechanisms. The system reduces manual processes, minimizes costs, and enhances overall service quality. This paper also examines the platform’s usability, performance, and scalability, while exploring aspects such as security, fraud mitigation, and predictive demand analytics. The findings suggest that digital solutions like this can significantly elevate efficiency and accessibility in the car rental domain.","",""
0,"Ms. Kirubavathi","Smart Parking Rental and Reservation Platform Web Application",2026,"International Journal for Research in Applied Science and Engineering Technology","International Journal for Research in Applied Science and Engineering Technology (IJRASET)","https://doi.org/10.22214/ijraset.2026.82565","",19,"2026-05-27 21:10:36","journal-article","10.22214/ijraset.2026.82565","2321-9653",,14,5,3837,3842,0,0.00,0,1,1,"The rapid increase in urban vehicles has created severe parking challenges in cities, leading to traffic congestion, fuel wastage, and time loss. Existing parking systems are mostly manual or reactive, providing no real-time availability or reservation capabilities. This project presents a Smart Parking Reservation System (SPRS), an intelligent, data-driven framework that enables users to find, reserve, and manage parking slots in real-time. The system integrates IoT sensors, cloud computing, and mobile/web applications to provide accurate parking availability and predictive insights. The system uses machine learning algorithms for demand prediction and optimal slot allocation, achieving improved efficiency and reduced congestion. A centralized platform provides real-time slot status, booking options, and automated alerts, making parking smarter and more efficient","",""
0,"eline jb","Is it safe to accept Zelle payment from strangers? Dispute Zelle Transaction",2026,"","ResearchHub Technologies, Inc.","https://doi.org/10.55277/researchhub.5uyoet44","",20,"2026-05-27 21:10:36","report","10.55277/researchhub.5uyoet44","",,,,,,0,0.00,0,1,1,"","",""
0,"Craig S Wright","Digital Cash, Transaction Scale, and the Institutional Economics of Payment Security",2026,"","Elsevier BV","https://doi.org/10.2139/ssrn.6404799","",25,"2026-05-27 21:10:36","posted-content","10.2139/ssrn.6404799","",,,,,,0,0.00,0,1,1,"Recent theoretical work analyses blockchain security at the consensus layer under assumptions of anonymous participants, frictionless entry, zero sunk costs, and no institutional enforcement. Those assumptions describe a limiting case. Payment-system security decomposes into three layers: transaction-level script conditions, consensus-level deterrence, and institutional enforcement. The layer containing the binding operational constraint varies by transaction class. For cost-disproportion transactions ($1$500), attack cost exceeds transaction value by a factor of 10 7 or more; the consensus-cost result does not bind. For script-conditioned transfers ($1K$1M), the result does not apply to the conditional release, whose operative constraint is script design; it applies to the funding transaction. For institutionally-enforced settlement ($1M and above), the result is supplemented by Beckerian deterrence where operators are identiable and legally reachable. For tokenised securities, it does not apply: security derives from the regulatory framework.&nbsp;","",""
0,"Marintan Saragih, Vitryani Tarigan","Analysis Of Application - Based Bill Transaction Information System  To Increase Customer Payment Awareness (Case Study Of PDAM Tirtauli Pematangsiantar City)",2026,"Jurnal Ilmiah Accusi","Universitas Simalungun","https://doi.org/10.36985/exhqp269","",26,"2026-05-27 21:10:36","journal-article","10.36985/exhqp269","2620-5815",,8,1,176,191,0,0.00,0,2,1,"This study aims to analyze the accounting information system of cash receipts and expenditures at PDAM Tirtauli Pematangsiantar and assess the effectiveness of its implementation. Accounting information systems have an important role in managing financial data into accurate and usable information in decision-making. The research method used is a descriptive method with a qualitative approach. Data collection techniques are carried out through interviews, observations, and documentation. The results of the study show that the accounting information system for cash receipts and cash expenditures at PDAM Tirtauli has clear procedures and runs according to the provisions. However, in its implementation, there are still several weaknesses such as suboptimal separation of duties, lack of supervision, and documentation that is not well organized. This shows that internal control has not been running optimally. Therefore, improvements are needed in the system in order to increase the effectiveness and efficiency of cash management","https://jurnal.usi.ac.id/index.php/jia/article/download/2308/2137",""
0,"Anggiah Salim, Sakina Sudin, Nurafni Muhammad, Fitriani Duwila, Frenti Polulu","Development of a Web-Based Motorcycle Rental Application with Real-Time Status and Digital Financial Recording",2026,"Ambidextrous Journal of Innovation Efficiency and Technology in Organization","PT Takaza Innovatix Labs","https://doi.org/10.61536/ambidextrous.v3i01.422","",38,"2026-05-27 21:10:36","journal-article","10.61536/ambidextrous.v3i01.422","3031-7002",,3,1,134,146,0,0.00,0,5,1,"Motorcycle rental businesses at the Micro, Small, and Medium Enterprises (MSME) level are still largely managed manually, which may lead to transaction recording errors and delays in vehicle status information. This study aims to design and implement a web-based motorcycle rental information system developed using HTML, CSS, JavaScript, and Bootstrap as the user interface. The system is managed through a GitHub repository, utilizes Supabase as a real-time database, and is deployed on the Vercel platform to provide public domain access. The research method follows system development stages consisting of requirement analysis, system design, implementation, and testing. The system is able to display real-time motorcycle availability, support admin-managed rental transactions, and generate daily income reports. To protect the confidentiality of MSME financial data, the income report is limited to a three-day period. The results indicate that the system operates properly and is feasible to be used as an operational support tool for web-based motorcycle rental services.","https://journal.takaza.id/index.php/ambidextrous/article/download/422/225",""
0,"Shree Krishna Bhetwal","Effect of AI-Driven Systems on Financial Transaction Security and Fraud Reduction in Payment Systems",2026,"","Elsevier BV","https://doi.org/10.2139/ssrn.6444358","",41,"2026-05-27 21:10:36","posted-content","10.2139/ssrn.6444358","",,,,,,0,0.00,0,1,1,"The rapid expansion of digital payment ecosystems has intensified exposure to sophisticated financial fraud, challenging the effectiveness of traditional rule-based detection systems. This study critically examines the role of artificial intelligence (AI)-driven fraud detection systems in improving transaction security and reducing fraud incidence. Using a secondary data analysis approach, the research draws on industry datasets from the Merchant Risk Council (2025) and Verifi (2025), alongside peerreviewed literature. The findings indicate that while AI adoption is associated with improved detection accuracy, reduced false positives, and enhanced operational efficiency, its impact on fraud reduction remains largely correlational rather than causal. Furthermore, the results highlight a significant shift toward post-purchase fraud, including refund abuse and friendly fraud, which existing AI systems inadequately address. Persistent challenges related to data quality, governance, and system integration further constrain AI effectiveness. The study contributes by critically bridging academic insights with real-world industry evidence, emphasizing the need for holistic, lifecycle-based fraud management approaches.","",""
0,"","Online Payment Transaction Analysis and Risk Insights",2026,"International Journal of Innovative Research in Technology","Amplionix LLP","https://doi.org/10.64643/ijirtv12i11-196364-459","",42,"2026-05-27 21:10:36","journal-article","10.64643/ijirtv12i11-196364-459","2349-6002",,12,11,,,0,0.00,0,0,1,"","",""
