Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Karuturi Soumya, Karuturi Sai Sharat, Nune Sreenivas",Academic certificate fraud detection by Web-based intelligent access control system: An effective role of Blockchain technology,2026,International Journal of Information Management Data Insights,Elsevier BV,https://doi.org/10.1016/j.jjimei.2025.100386,,67,2026-05-27 21:14:56,journal-article,10.1016/j.jjimei.2025.100386,2667-0968,,6,1,100386,100386,1,1.00,0,3,1,,https://api.elsevier.com/content/article/PII:S2667096825000679,
0,"Hidayatur Romadhan, Mansur Mansur",Web-based Educational Payment Information System using Role-based Access Control Security,2026,SISTEMASI,Universitas Islam Indragiri,https://doi.org/10.32520/stmsi.v15i2.5920,,1,2026-05-27 21:14:56,journal-article,10.32520/stmsi.v15i2.5920,2540-9719,,15,2,624,624,0,0.00,0,2,1,,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/viewFile/5920/1164,
0,Miruthula G,DESIGN OF A ROLE BASED ACCESS CONTROL SYSTEM FOR MULTI USER ENVIRONMENTS,2026,,Wiley,https://doi.org/10.22541/au.177091733.32934837/v1,,18,2026-05-27 21:14:56,posted-content,10.22541/au.177091733.32934837/v1,,,,,,,0,0.00,0,1,1,"Multi-user environments have become an integral part of modern information systems, which include enterprise applications and cloud platforms and healthcare systems and educational portals. The system requires secure access control, which must work efficiently, because multiple users with distinct roles need to access shared resources at the same time. The traditional user-based access control methods become unmanageable because they require more resources to handle increased user and resource demands. The organization faces difficulties because it needs to protect its security standards while stopping unauthorized system entry.",https://www.authorea.com/doi/pdf/10.22541/au.177091733.32934837/v1,
0,"David Fitrianto, Wicaksono Yuli Sulistyo",Penerapan Role-Based Access Control untuk Keamanan Data Multi-Tenant SIMPEL Lazismu,2026,Insect (Informatics and Security): Jurnal Teknik Informatika,"Lembaga Riset dan Inovasi, Universitas Muhammadiyah Sorong",https://doi.org/10.33506/insect.v12i01.5009,,30,2026-05-27 21:14:56,journal-article,10.33506/insect.v12i01.5009,2614-431X,,12,1,1,10,0,0.00,0,2,1,"SIMPEL (Sistem Informasi Manajemen Pelaporan) adalah sistem manajemen dan Pelaporan di Lazismu Daerah Kebumen yang digunakan oleh 23 kantor layanan atau multi enant dengan data yang terpusat di Lazismu Daerah Kebumen. Penelitian ini bertujuan untuk menjaga keamana data dan pembatasan akses antar pengguna yang dikelompokkan dengan kantor layanan. Penggunaan metode Role-Based Access Control (RBAC) bersamaan memungkinan akses data sesuai dengan ketentuan dan aman dalam sistem multi tenant. Penerapan metode ini dibangun diatas framework Laravel dan metode waterfall dalam pengembangan SIMPEL. Hasil pengujian black box yang dilakukan menunjukkan penerapan metode metode Role-Based Access Control (RBAC) berfungsi sesuai dengan spesifikasi dan kebutuhan. Implementasi yang dilakukan menunjukkan keamanan data antar kantor layanan terjaga dan tidak bisa diakses oleh user dengan kantor layanan terkait. Oleh karena itu, penerapan metode Role-Based Access Control (RBAC) pada SIMPEL ini menjadi solusi efektif dalam ekosistem sistem multi tenant di Lazismu Daerah Kebumen.",https://ejournal.um-sorong.ac.id/index.php/insect/article/download/5009/2636,
0,"Hebah I. Abu Kaf, Khair Eddin Sabri, Nadim Obeid",Temporal Defeasible Role–Group–Task Access Control: A Logic-Based Framework for Explainable Authorization,2026,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),https://doi.org/10.1109/access.2026.3664759,,43,2026-05-27 21:14:56,journal-article,10.1109/access.2026.3664759,2169-3536,,14,,28675,28700,0,0.00,0,3,1,,http://xplorestaging.ieee.org/ielx8/6287639/11323511/11404408.pdf?arnumber=11404408,
0,"Karunamoy Maji, Chittaranjan Mandal, Pabitra Mitra",<scp>ERBAC</scp> : Encrypted Role Based Access Control,2026,SECURITY AND PRIVACY,Wiley,https://doi.org/10.1002/spy2.70222,,117,2026-05-27 21:14:56,journal-article,10.1002/spy2.70222,2475-6725,,9,3,,,0,0.00,0,3,1,"ABSTRACT: Leading enterprises typically choose for a centralized, large‐scale database storage system. Data security is crucial for communication and database preservation. The principal issue is governing unauthorized access to the database. Role‐based access control (RBAC) is a recognized approach for maintaining confidentiality in database systems. Nevertheless, System Administrators (SA) and Database Administrators (DBA) can obtain critical information even within the RBAC architecture. An approach based on encryption has been developed to address this issue. The primary concern is the secure distribution of keys among individuals with shared data access and a group of individuals needing access to shared data, viewed as having a common objective. We have instituted row‐level security (RLS) in database design to establish safe access control, called Encrypted Role‐Based Access Control (ERBAC). Additionally, we deployed Enterprise Resource Planning (ERP) systems, which are essential applications where security concerns are critical. ERBAC integrates effortlessly with an operational ERP system. We offer security, performance analysis, and encrypted query processing for role‐based encrypted data storage when the database contains identical data in many forms.",https://onlinelibrary.wiley.com/doi/pdf/10.1002/spy2.70222,
0,Harris Wang,"A Formalized Zoned Role-Based Framework for the Analysis, Design, Implementation, Maintenance and Access Control of Integrated Enterprise Systems",2026,Computers,MDPI AG,https://doi.org/10.3390/computers15030187,,119,2026-05-27 21:14:56,journal-article,10.3390/computers15030187,2073-431X,,15,3,187,187,0,0.00,0,1,1,"Modern enterprise information systems must simultaneously support complex organizational structures, ensure robust security, and remain scalable and maintainable over time. Traditional Role-Based Access Control (RBAC) models, while effective for permission management, operate primarily as post-design security layers and do not provide a unified methodology for structuring system architecture. This paper introduces the Zoned Role-Based (ZRB) model, a mathematically formalized and comprehensive framework that integrates organizational modeling, system design, implementation, access control, and long-term maintenance. ZRB models an organization as a hierarchy of zones, each containing its own roles, applications, operations, and users, forming a recursive Zone Tree that directly mirrors real organizational semantics. Through formally defined role hierarchies, zone-scoped permission sets, and inter-zone inheritance mappings, ZRB provides a context-aware permission calculus that unifies authentication and authorization across all zones. The paper presents the theoretical foundations of ZRB, a multi-phase engineering methodology for constructing integrated enterprise systems, and a complete implementation architecture with permission inference, navigation design, administrative subsystems, and deployment models. Primary validation and evaluations across several developed systems demonstrate significant improvements in permission accuracy, administrative efficiency, scalability, and maintainability. ZRB thus offers a rigorously defined and practically validated framework for building secure, scalable, and organizationally aligned enterprise information systems.",https://www.mdpi.com/2073-431X/15/3/187/pdf,
0,"K. Anand, Tamilarasi R",Blockchain-Enabled Healthcare Management System Using Role-Based Access Control Smart Contract,2026,2026 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),IEEE,https://doi.org/10.1109/iatmsi68868.2026.11465899,,180,2026-05-27 21:14:56,proceedings-article,10.1109/iatmsi68868.2026.11465899,,,,,1,6,0,0.00,0,2,1,,http://xplorestaging.ieee.org/ielx8/11465166/11465169/11465899.pdf?arnumber=11465899,
0,"Yudai Okui, Michitoshi Niibori, Masaki Kohana, Shusuke Okamoto, Masaru Kamada",Location-based web access control via short-time passwords broadcast by Bluetooth low energy beacon,2026,International Journal of Grid and Utility Computing,Inderscience Publishers,https://doi.org/10.1504/ijguc.2026.152719,,212,2026-05-27 21:14:56,journal-article,10.1504/ijguc.2026.152719,1741-847X,,17,2,174,194,0,0.00,0,5,1,,http://www.inderscienceonline.com/doi/full/10.1504/IJGUC.2026.152719,
0,"Yongtao Huang, Ayu Tiwari, I-Ling Yen, Farokh Bastani",A Blockchain Aided Resource/Role Hierarchy Based Access Control Framework for Federated Learning,2026,2026 International Conference on Advances in Artificial Intelligence and Machine Learning (AAIML),IEEE,https://doi.org/10.1109/aaiml67890.2026.11498187,,258,2026-05-27 21:14:56,proceedings-article,10.1109/aaiml67890.2026.11498187,,,,,156,161,0,0.00,0,4,1,,http://xplorestaging.ieee.org/ielx8/11498067/11498069/11498187.pdf?arnumber=11498187,
