Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Hidayatur Romadhan, Mansur Mansur","Web-based Educational Payment Information System using Role-based Access Control Security",2026,"SISTEMASI","Universitas Islam Indragiri","https://doi.org/10.32520/stmsi.v15i2.5920","",1,"2026-05-27 21:14:56","journal-article","10.32520/stmsi.v15i2.5920","2540-9719",,15,2,624,624,0,0.00,0,2,1,"","https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/viewFile/5920/1164",""
0,"","SchoolEvHub: Design and Development of a Web-Based School Event Management System with Role-Based Access Control",2026,"International Journal of Innovative Research in Technology","Amplionix LLP","https://doi.org/10.64643/ijirtv12i11-197549-459","",2,"2026-05-27 21:14:56","journal-article","10.64643/ijirtv12i11-197549-459","2349-6002",,12,11,,,0,0.00,0,0,1,"","",""
0,"Nilay Dedhia","Secure Web Authentication Using JWT and Role-Based Access Control",2026,"INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT","Edtech Publishers (OPC) Private Limited","https://doi.org/10.55041/ijsrem60274","",3,"2026-05-27 21:14:56","journal-article","10.55041/ijsrem60274","2582-3930",,10,4,1,9,0,0.00,0,1,1,"Abstract Web applications play a critical role in modern digital systems and handle large amounts of sensitive user data, making them a major target for cyber attacks. Weak authentication mechanisms, poor session management, and inadequate access control can lead to vulnerabilities such as Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF), and session hijacking, resulting in unauthorized access and data breaches. This research presents the design and implementation of a secure role-based authentication framework. The system uses JSON Web Tokens (JWT) for stateless authentication and stores tokens in HTTP-only cookies to prevent client-side access and reduce XSS risks. Role-Based Access Control (RBAC) is implemented to restrict access based on user roles, while secure password hashing and middleware validation enhance overall security. The proposed framework improves authentication security, strengthens session management, and reduces common web vulnerabilities. It is scalable and suitable for integration into modern web applications. Keyword: JWT, RBAC, Authentication, Web Security, HTTP-only Cookies","",""
0,"Nurul Asrofi, Kasmawi Kasmawi, Pretti Ristra","Implementation of role-based access control (RBAC) in a web-based mosque information system",2026,"Jurnal Ilmiah Teknologi Informasi Asia","Institut Teknologi dan Bisnis Asia Malang","https://doi.org/10.32815/jitika.1233","",7,"2026-05-27 21:14:56","journal-article","10.32815/jitika.1233","2580-8397",,20,2,1,10,0,0.00,0,3,1,"This study addresses the challenges of mosque administrative and financial management, which are still predominantly handled manually, resulting in inefficiency, limited transparency, and potential security risks. To address these issues, this research designs and implements a web-based mosque information system incorporating Role-Based Access Control (RBAC) to regulate user access based on predefined organizational roles. The system supports the management of mosque activities, financial transactions, announcements, and public information services. RBAC is applied to ensure that each user can only access system functionalities relevant to their responsibilities, including administrators, mosque management staff, treasurers, and public users. System evaluation includes functional testing, role-based access testing, a basic security assessment, and an initial performance evaluation using page-load time measurements. The performance evaluation shows that the most resource-intensive module achieves an average page load time of approximately 2.3 seconds, indicating acceptable performance for a small-scale community-based information system. The results suggest that the proposed system supports structured administrative workflows, improves access organization, and enhances transparency while maintaining controlled access to sensitive information. The proposed system provides a practical foundation for secure and accountable digital mosque management.","",""
0,"Prof. Shital Gujar","A Web- Based Student Attendance Management System Using MERN Stack with Role-Based Access Control",2026,"International Journal for Research in Applied Science and Engineering Technology","International Journal for Research in Applied Science and Engineering Technology (IJRASET)","https://doi.org/10.22214/ijraset.2026.78565","",8,"2026-05-27 21:14:56","journal-article","10.22214/ijraset.2026.78565","2321-9653",,14,3,2957,2961,0,0.00,0,1,1,"Many engineering colleges still use manual methods like paper registers and notice boards for managing attendance and results. This makes things slow and students often do not get information on time. In this paper we present a web- based Student Portal built during our Second Year Engineering project. The system supports four types of users - Student, Faculty, Admin, and Parent - each with their own login and dashboard. We used React.js for the frontend, Node.js and Express.js for the backend, and MongoDB Atlas to store data. Login is secured using JSON Web Tokens (JWT). Access to each dashboard is controlled based on the user role, both on the frontend and the backend. Role separation was confirmed - no user could access another role's data. The system is a simple but working solution to replace paper- based academic management","",""
0,"Ayodeji Bolanle Balogun","A Secure Web-Based Investment Club Management System with Integrated Accounting and Role-Based Access Control",2026,"International Journal for Research in Applied Science and Engineering Technology","International Journal for Research in Applied Science and Engineering Technology (IJRASET)","https://doi.org/10.22214/ijraset.2026.82399","",9,"2026-05-27 21:14:56","journal-article","10.22214/ijraset.2026.82399","2321-9653",,14,5,3423,3429,0,0.00,0,1,1,"Cooperative savings and investment clubs play a crucial role in domestic finance in sub-Saharan Africa, but most rely on handwritten records that are error-prone, vulnerable to fraud, and easily lost. This paper describes the design and development of an online Investment Club Management System (ICMS) that digitises the entire operating cycle of a cooperative savings and loan society. The system integrates type-safe client–server communication, role-based access control, and a structured Know Your Customer onboarding process. A four-stage loan workflow is implemented with capacity-aware guarantor allocation, alongside automated amortisation and double-entry accounting within a general ledger framework. The proposed design improves data integrity, operational transparency, and financial reporting accuracy. Experimental evaluation demonstrates reliable performance and consistency in transaction processing. The system enhances transparency and efficiency and provides an architectural template for developing secure financial management systems for community organisations.","",""
0,"Nakum Mohammadyasin Firozbhai","A Review Paper OnJob Consultancy Web SoftwareA Laravel-Based Recruitment Management System With Role-Based Access And Visual Analytics",2026,"International Journal of Research Publication and Reviews","Genesis Global Publication","https://doi.org/10.55248/gengpi.07.0426.c1006","",10,"2026-05-27 21:14:56","journal-article","10.55248/gengpi.07.0426.c1006","2582-7421",,7,4,6362,6370,0,0.00,0,1,1,"","",""
0,"Madhuri Margam","Understanding Authentication and Authorization: A Comparative Analysis of Role-Based Access Control (RBAC), Attribute-Based Access Control (ABAC), and Relationship-Based Access Control (ReBAC) Authorization Models",2026,"International Journal of Advanced Computer Science and Applications","The Science and Information Organization","https://doi.org/10.14569/ijacsa.2026.0170211","",13,"2026-05-27 21:14:56","journal-article","10.14569/ijacsa.2026.0170211","2156-5570",,17,2,,,0,0.00,0,1,1,"This study elucidates the distinctions between authentication and authorization within information security, two fundamental yet frequently conflated concepts. While authentication serves to confirm an entity’s identity, authorization determines the permissible actions that entity may execute. A thorough understanding of these mechanisms is critical for architecting secure, scalable systems and reducing vulnerabilities. The study further explores three widely adopted authorization paradigms using a gymnasium analogy: Role-Based Access Control (RBAC), which assigns privileges based on predefined roles; Attribute-Based Access Control (ABAC), which leverages a dynamic evaluation of user and contextual attributes; and Relationship-Based Access Control (ReBAC), which determines access based on defined relationships among entities. The concluding discussion emphasizes that optimal security is realized when authentication and authorization function cohesively.","http://thesai.org/Downloads/Volume17No2/Paper_11-Understanding_Authentication_and_Authorization.pdf",""
0,"Ammar Najmi Adra, Zulfahmi Syahputra, Hafni","Perancangan Sistem POS Berbasis Web dengan Role-Based Access Control pada Bisnis Parfum Decant",2026,"Jurnal Komputer Teknologi Informasi Sistem Komputer (JUKTISI)","LKP Karya Prima","https://doi.org/10.62712/juktisi.v4i3.853","",14,"2026-05-27 21:14:56","journal-article","10.62712/juktisi.v4i3.853","2963-7104",,4,3,2326,2335,0,0.00,0,3,1,"Bisnis parfum decant memiliki karakteristik operasional yang unik karena satu botol parfum utama dijual kembali dalam berbagai ukuran volume kecil, sehingga pengelolaan stok menjadi rentan terhadap kesalahan jika dilakukan secara manual. Permasalahan ini semakin kompleks ketika stok harus dihitung dan dipotong berdasarkan volume mililiter yang berbeda-beda pada setiap transaksi, sementara sistem pencatatan manual kurang mampu menangani komputasi tersebut secara akurat. Penelitian ini bertujuan untuk merancang dan membangun sistem informasi Point of Sale (POS) berbasis web yang mampu menangani pengelolaan stok berbasis volume (mililiter) serta meningkatkan keamanan data transaksi melalui pembatasan hak akses pengguna. Sistem dikembangkan menggunakan Framework Laravel dengan penerapan Role-Based Access Control (RBAC) untuk membedakan hak akses antara Admin dan Kasir secara tepat. Metodologi pengembangan perangkat lunak yang digunakan adalah System Development Life Cycle (SDLC) model Waterfall, sedangkan pengujian fungsionalitas dilakukan menggunakan metode Black Box Testing untuk memastikan seluruh fitur berfungsi sesuai kebutuhan. Hasil penelitian menunjukkan bahwa sistem dapat melakukan pengurangan stok otomatis secara presisi berdasarkan volume mililiter yang terjual, serta membatasi akses fitur sensitif sesuai peran pengguna. Implementasi sistem ini diharapkan dapat meningkatkan akurasi pencatatan inventaris, efisiensi operasional, dan keamanan data pada operasional toko parfum decant.","https://ejurnal.lkpkaryaprima.id/index.php/juktisi/article/download/853/586",""
0,"Miruthula G","DESIGN OF A ROLE BASED ACCESS CONTROL SYSTEM FOR MULTI USER ENVIRONMENTS",2026,"","Wiley","https://doi.org/10.22541/au.177091733.32934837/v1","",18,"2026-05-27 21:14:56","posted-content","10.22541/au.177091733.32934837/v1","",,,,,,0,0.00,0,1,1,"Multi-user environments have become an integral part of modern information systems, which include enterprise applications and cloud platforms and healthcare systems and educational portals. The system requires secure access control, which must work efficiently, because multiple users with distinct roles need to access shared resources at the same time. The traditional user-based access control methods become unmanageable because they require more resources to handle increased user and resource demands. The organization faces difficulties because it needs to protect its security standards while stopping unauthorized system entry.","https://www.authorea.com/doi/pdf/10.22541/au.177091733.32934837/v1",""
