Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Hidayatur Romadhan, Mansur Mansur",Web-based Educational Payment Information System using Role-based Access Control Security,2026,SISTEMASI,Universitas Islam Indragiri,https://doi.org/10.32520/stmsi.v15i2.5920,,1,2026-05-27 21:14:56,journal-article,10.32520/stmsi.v15i2.5920,2540-9719,,15,2,624,624,0,0.00,0,2,1,,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/viewFile/5920/1164,
0,"Ammar Najmi Adra, Zulfahmi Syahputra, Hafni",Perancangan Sistem POS Berbasis Web dengan Role-Based Access Control pada Bisnis Parfum Decant,2026,Jurnal Komputer Teknologi Informasi Sistem Komputer (JUKTISI),LKP Karya Prima,https://doi.org/10.62712/juktisi.v4i3.853,,14,2026-05-27 21:14:56,journal-article,10.62712/juktisi.v4i3.853,2963-7104,,4,3,2326,2335,0,0.00,0,3,1,"Bisnis parfum decant memiliki karakteristik operasional yang unik karena satu botol parfum utama dijual kembali dalam berbagai ukuran volume kecil, sehingga pengelolaan stok menjadi rentan terhadap kesalahan jika dilakukan secara manual. Permasalahan ini semakin kompleks ketika stok harus dihitung dan dipotong berdasarkan volume mililiter yang berbeda-beda pada setiap transaksi, sementara sistem pencatatan manual kurang mampu menangani komputasi tersebut secara akurat. Penelitian ini bertujuan untuk merancang dan membangun sistem informasi Point of Sale (POS) berbasis web yang mampu menangani pengelolaan stok berbasis volume (mililiter) serta meningkatkan keamanan data transaksi melalui pembatasan hak akses pengguna. Sistem dikembangkan menggunakan Framework Laravel dengan penerapan Role-Based Access Control (RBAC) untuk membedakan hak akses antara Admin dan Kasir secara tepat. Metodologi pengembangan perangkat lunak yang digunakan adalah System Development Life Cycle (SDLC) model Waterfall, sedangkan pengujian fungsionalitas dilakukan menggunakan metode Black Box Testing untuk memastikan seluruh fitur berfungsi sesuai kebutuhan. Hasil penelitian menunjukkan bahwa sistem dapat melakukan pengurangan stok otomatis secara presisi berdasarkan volume mililiter yang terjual, serta membatasi akses fitur sensitif sesuai peran pengguna. Implementasi sistem ini diharapkan dapat meningkatkan akurasi pencatatan inventaris, efisiensi operasional, dan keamanan data pada operasional toko parfum decant.",https://ejurnal.lkpkaryaprima.id/index.php/juktisi/article/download/853/586,
0,"Dea Agustina Purba, Nurmi Hidayasari",Implementation of Role-Based Access Control (RBAC) in a Drug Stock Management Information System,2026,SISTEMASI,Universitas Islam Indragiri,https://doi.org/10.32520/stmsi.v15i2.5958,,104,2026-05-27 21:14:56,journal-article,10.32520/stmsi.v15i2.5958,2540-9719,,15,2,684,684,0,0.00,0,2,1,,https://sistemasi.ftik.unisi.ac.id/index.php/stmsi/article/viewFile/5958/1168,
0,"Muhamad Daerobi, Abdul Wahab, Muhammad Bintang Raitama, Fauzan Muhamad Ahwan, Muhamad Ilham Alkhairi, Andre Fajar Ramadan, Muhammad Yusuf Ramadhani",PERANCANGAN SISTEM INFORMASI PONDOK PESANTREN DENGAN PENERAPAN ROLE-BASED ACCESS CONTROL DAN FITUR SOSIAL BERBASIS WEBSITE,2026,JATI (Jurnal Mahasiswa Teknik Informatika),LPPM ITN Malang,https://doi.org/10.36040/jati.v10i2.17789,,877,2026-05-27 21:14:56,journal-article,10.36040/jati.v10i2.17789,2598-828X,,10,2,3354,3361,0,0.00,0,7,1,"Pondok pesantren merupakan lembaga pendidikan yang memiliki sistem administrasi dan akademik yang kompleks, meliputi pengelolaan data user. Namun, masih banyak pondok pesantren yang menggunakan sistem manual sehingga berpotensi menimbulkan permasalahan dalam pengelolaan data dan keamanan informasi. Penelitian ini bertujuan untuk merancang dan membangun sistem informasi pondok pesantren berbasis website dengan penerapan Role-Based Access Control (RBAC) dan fitur sosial. Metode pengembangan sistem yang digunakan adalah metode waterfall yang meliputi tahap analisis kebutuhan, perancangan sistem, implementasi, dan pengujian. Sistem ini dirancang dengan beberapa peran pengguna, yaitu admin, user, dan public, yang masing-masing memiliki hak akses berbeda. Selain itu, sistem dilengkapi dengan fitur sosial berupa pengumuman dan forum diskusi untuk meningkatkan interaksi antar pengguna. Hasil penelitian menunjukkan bahwa sistem yang dibangun mampu meningkatkan efisiensi pengelolaan data serta keamanan akses informasi di lingkungan pondok pesantren. Dengan demikian, sistem informasi ini dapat menjadi solusi digital yang efektif bagi pondok pesantren.",https://ejournal.itn.ac.id/jati/article/download/17789/9290,
1,"A. H. Afolayan, T. M. Onoriode",Web-Based SIWES Logbook System with Secure Authentication and Role-Based Access,2025,"Journal of Science, Technology and Innovation Research",Federal University of Technology Akure,https://doi.org/10.51459/jostir.2025.1.special-issue.059,,40,2026-05-27 21:14:56,journal-article,10.51459/jostir.2025.1.special-issue.059,1118-3896,,1,,,,1,1.00,1,2,1,"The Student Industrial Work Experience Scheme (SIWES) is designed to connect classroom learning with real-world workplace experience across Nigerian universities. A central component of this process is the logbook, which students use to record their daily tasks and on which supervisors rely for evaluation. In many Nigerian institutions, these logbooks are still kept on paper, a familiar practice that often leads to delays, lost records, and other inefficiencies. To address these challenges, this study aims to design and implement a secure, role-based, multi-user, web-enabled SIWES logbook system to streamline documentation, supervision, and evaluation, with the objectives of improving accessibility, enhancing security through authentication, and enabling real-time monitoring for all stakeholders. The system was developed using the Waterfall Software Development Life Cycle (SDLC) and a four-tier architecture comprising a React.js presentation layer, Node.js application layer, MySQL data layer, and a security layer employing Bcrypt for password hashing and JSON Web Tokens (JWT) for stateless authentication, alongside Role-Based Access Control (RBAC) for tailored permissions. A user evaluation with 40 participants at the Federal University of Technology, Akure, demonstrated high usability, security, and adoption: 65% were very satisfied, 72.5% found navigation easy, 57.5% rated the system as very secure, and 95% preferred it over paper-based logbooks. These findings confirm that the proposed system enhances monitoring, ensures data integrity, and provides timely feedback, offering a practical, centralized, and secure alternative to traditional SIWES logbooks.",https://jostir.futa.edu.ng/jostir/article/download/59/48,
1,"Barnaba Bobbili, Charles R, D. Sudha",Multi-Modal Security Integration and Role-Based Access Control for Secure File Management System,2025,2025 International Conference on Intelligent Computing and Control Systems (ICICCS),IEEE,https://doi.org/10.1109/iciccs65191.2025.10985393,,76,2026-05-27 21:14:56,proceedings-article,10.1109/iciccs65191.2025.10985393,,,,,525,531,1,1.00,0,3,1,,http://xplorestaging.ieee.org/ielx8/10982535/10984435/10985393.pdf?arnumber=10985393,
1,"Ke Xu, Bing Zhang, Jingyue Li, Haitao He, Rong Ren, Jiadong Ren",DRacv: Detecting and auto-repairing vulnerabilities in role-based access control in web application,2025,Journal of Network and Computer Applications,Elsevier BV,https://doi.org/10.1016/j.jnca.2025.104191,,98,2026-05-27 21:14:56,journal-article,10.1016/j.jnca.2025.104191,1084-8045,,240,,104191,104191,1,1.00,0,6,1,,https://api.elsevier.com/content/article/PII:S1084804525000888,
0,Wail Zita,Secure QR Code Login System with Role-Based Access for Web Applications,2025,,Institute of Electrical and Electronics Engineers (IEEE),https://doi.org/10.36227/techrxiv.175616741.16408346/v1,,4,2026-05-27 21:14:56,posted-content,10.36227/techrxiv.175616741.16408346/v1,,,,,,,0,0.00,0,1,1,"Password logins can still be compromised through phishing and replay attacks. This paper introduces a secure QR-code authentication method that works with role-based access control for web apps. It's built using Python Flask. The QR code contains an AES-GCM encrypted JSON Web Token. {sid, uid, role, nonce, iat, exp} with ≤30 s validity. Security hardening includes single-use nonces with server-side replay caches, strict issuer/audience/alg checks, device/IP binding at session issuance, and deny-by-default RBAC with endpoint-level policy checks. We evaluate the system via 10,000 simulated login attempts under heterogeneous network latency and adversarial traffic (phishing pages, token replay, and brute-force probes). Compared to a baseline username/password + TOTP flow, the proposed design reduces mean login time from 4.82 s to 2.35 s (−51.2%), lowers p95 latency from 7.05 s to 3.80 s, and increases authentication throughput by 74.6%. In security tests, phishing success drops from 12% to 0%, replay acceptance from 0.8% to 0%, and unauthorized role escalation from 3 cases to 0. The cryptographic and policy checks add modest overhead (average CPU 16.7%→18.3%). These results indicate that QR-based authentication, when combined with robust RBAC and shortlived, nonce-bound tokens, can simultaneously improve usability and security for modern web applications.",https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.175616741.16408346/v1,
0,"Andi Anzanul Zikra, Aulia Darnilasari, Rahmat Yanuary, Komala Sari",Design of Web-Based Project Management System with Multi-Level Role-Based Access Control,2025,Journal of Computer Science and Informatics Engineering,Ali Institute of Research and Publication,https://doi.org/10.55537/cosie.v4i3.1179,,11,2026-05-27 21:14:56,journal-article,10.55537/cosie.v4i3.1179,2827-8356,,4,3,201,215,0,0.00,0,4,1,"Conventional project management using WhatsApp and email creates problems in progress tracking and inefficient team coordination. Research shows 70% of projects fail to deliver what was promised to customers. This research aims to design a web-based project management system using Laravel 12, Filament Shield, and Tailwind CSS. The research methodology employs waterfall SDLC with problem identification, data collection, UML system design, and black box testing stages. The system is designed with an Role-Based Access Control (RBAC) for 6 roles: Super Admin, Project Manager, Team Lead, Developer, QA Tester, and Client. Results demonstrate successful system implementation with integrated platform features, multi-level RBAC, real-time tracking through kanban dashboard, and responsive interface. Black box testing with 21 test cases covering 5 core system functions (authentication, RBAC, project CRUD operations, task management, and kanban board) achieved 100% success rate. The system successfully addresses progress tracking and coordination issues with an integrated solution supporting organizational scalability",https://journal.aira.or.id/index.php/cosie/article/download/1179/488,
0,"Indra Gamayanto, Michael Christ Kurniawan, Gabriello Klavin Sanyoto",Security Evaluation of Keycloak-Based Role-Based Access Control in Microservice Architectures Using the OWASP ASVS Framework,2025,Journal of Applied Informatics and Computing,Politeknik Negeri Batam,https://doi.org/10.30871/jaic.v9i6.11604,,34,2026-05-27 21:14:56,journal-article,10.30871/jaic.v9i6.11604,2548-6861,,9,6,3964,3973,0,0.00,0,3,1,"The Rocket Car Wash Semarang application operates using a microservice architecture that handles sensitive information such as user identity data, transaction history, and vehicle details. As multiple services interact through authenticated API calls, strong access control is required to protect the system from unauthorized access and privilege escalation. This research evaluates the Keycloak-based Role-Based Access Control (RBAC) implementation by referencing relevant domains of the OWASP Application Security Verification Standard (ASVS) Level 2, specifically V2: Authentication, V3: Session Management, V4: Access Control, and V14: Configuration. The RBAC structure consists of three primary roles—Admin, Owner, and Customer—and the assessment examines the correctness of role–permission mapping and token-based authorization across microservices. The security evaluation was conducted through configuration auditing, API endpoint verification using Postman, JWT token validation, and automated penetration testing using OWASP Zed Attack Proxy (ZAP). The ZAP scan targeted common web vulnerabilities, particularly misconfigurations and weaknesses in HTTP security headers. The results indicate that Keycloak effectively enforces centralized authentication and authorization, with no critical issues such as Broken Access Control identified. However, several non-critical weaknesses were found, including incomplete Content Security Policy (CSP) directives and missing HSTS headers. These findings show that the RBAC implementation meets core ASVS Level 2 controls, while further improvements in security header configuration are required to enhance overall system resilience.",https://jurnal.polibatam.ac.id/index.php/JAIC/article/download/11604/3276,
